Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-NOV-1998,823.2,825.3,818.6,820.9,32844383,737.1
02-NOV-1998,824.2,829.1,812.3,823.2,29886562,768.11
31-OCT-1998,828.25,828.25,819.85,824,12583695,246.02
30-OCT-1998,832.65,839.2,826.85,828.85,38295453,909.8
29-OCT-1998,833.55,834,818.95,832.25,28355177,680.78
28-OCT-1998,842.8,857.75,831.55,833.85,34893081,866.96
27-OCT-1998,845.45,848.25,835.7,841.6,31475340,725.11
26-OCT-1998,817.6,854.1,817.6,845.25,31773485,825.84
23-OCT-1998,811.85,820.35,804.7,817.35,35961555,855.85
22-OCT-1998,809.3,825.2,805.7,811.6,28076555,695.03
20-OCT-1998,831.15,831.45,803.3,808.7,29712938,702.51
19-OCT-1998,839.7,840,830.1,831.25,9082554,211.66
16-OCT-1998,836.25,844.7,829.25,839.5,27613979,698.22
15-OCT-1998,843.65,845.9,832.1,835.65,27178740,750.33
14-OCT-1998,816.55,846.75,816.55,843.55,31667689,751.49
13-OCT-1998,835.45,835.75,810,816.75,36451812,847
12-OCT-1998,849.7,860.9,832.1,835.8,28132735,793.11
09-OCT-1998,847.95,861.55,842.1,849.1,35209873,860.94
08-OCT-1998,874.65,885.25,845.1,847.95,38660107,1126.73
07-OCT-1998,846.15,875.75,846.05,874.25,29678588,825.34
06-OCT-1998,839.95,848.2,820.1,845.75,28945770,716.41
05-OCT-1998,904.75,904.75,839.3,840.75,22435474,641.23
30-SEP-1998,908.3,912.25,896.05,904.95,24827328,617.15
29-SEP-1998,928.3,932.5,902.4,908.4,29569701,693.4
28-SEP-1998,935.6,941.45,926,927.9,26170018,808.57
25-SEP-1998,935.3,945.25,933,934.95,34919223,937.67
24-SEP-1998,908.2,936.5,908.2,934.8,34315648,1067.2
23-SEP-1998,897.9,910.75,897.9,907.75,20937589,477.18
22-SEP-1998,897.85,900.8,891.4,897.25,27855304,704.98
21-SEP-1998,902.1,908.05,895.85,897.7,26967846,731.23
18-SEP-1998,910,910,899.95,901.65,24649384,650.12
17-SEP-1998,914.45,919.95,908.55,910.1,24934188,543.29
16-SEP-1998,921.4,926.55,912.6,914.5,26565576,685.95
15-SEP-1998,920.1,923.2,915.6,920.8,25550725,666.25
14-SEP-1998,900.2,921.65,900.2,920.5,31313987,761.49
11-SEP-1998,907.1,907.1,893.3,899.7,25930535,633.85
10-SEP-1998,903.15,913.2,897.35,907.4,30954507,706.39
09-SEP-1998,900.2,916.8,900.2,903.6,34188776,782.96
08-SEP-1998,887.25,902.05,882.6,899.95,28273867,773.17
07-SEP-1998,866.9,889.45,866.9,887.1,35257877,797.71
04-SEP-1998,846.9,868.05,846.9,866.5,37681521,970.52
03-SEP-1998,842.3,852.05,838.75,846.45,25063915,608.08
02-SEP-1998,834.55,847.95,834.55,842.5,16881577,432.27
01-SEP-1998,852.75,852.75,832.05,834.55,26430185,721.45
31-AUG-1998,850.3,858.6,841.1,852.8,19779089,543.6
28-AUG-1998,877.15,877.15,847.15,849.8,31493024,841.69
27-AUG-1998,872.15,889.7,872.15,877.45,32067132,901.05
25-AUG-1998,859.85,874.15,859.85,871.9,27813540,670.58
24-AUG-1998,855.2,860.95,845.35,859.8,21959553,565.86
21-AUG-1998,868.55,871.15,853.4,855.45,37413997,802.82
20-AUG-1998,839.3,871.15,839.3,868.7,34008642,794.22
19-AUG-1998,832.85,853.9,830.15,838.3,36170597,737.06
18-AUG-1998,854.55,854.8,831.1,832.45,26628099,613.35
17-AUG-1998,864.35,873.2,853.05,854.55,19019039,534.62
14-AUG-1998,872.85,876.8,863.55,864.1,17898322,434.83
13-AUG-1998,859.8,878.4,854.5,872.25,23529670,644.89
12-AUG-1998,866.35,871.4,853.1,860.1,23442339,609.36
11-AUG-1998,878.7,878.7,863.65,866.5,23646773,532.43
10-AUG-1998,895.15,895.15,877.55,878.75,19259587,510.61
07-AUG-1998,902.75,903.55,892.9,895.55,22250680,608.74
06-AUG-1998,907.9,919,900.2,902.75,27176069,807.03
05-AUG-1998,905.65,911.8,890.95,907.45,22290227,586.79
04-AUG-1998,905.65,913.45,903.15,906.2,19658165,602.15
03-AUG-1998,930.8,930.8,903.5,906,18363646,598.6
31-JUL-1998,932.6,939.6,925.25,931.4,24747027,867.53
30-JUL-1998,938.15,949.85,926.8,932.6,23814545,798.04
29-JUL-1998,917.4,940.15,917.4,937.85,27974665,784.71
28-JUL-1998,899.1,920,897.65,917.25,28308776,761.09
27-JUL-1998,919.4,929.45,895.85,899.35,24341340,665.11
24-JUL-1998,933.5,934.75,915.5,920.1,27508678,709.01
23-JUL-1998,965.35,965.35,931.75,934.4,26412525,760.54
