"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","31 Oct 2003","1188.15","1220.90","1188.15","1218.30"
"NIFTY 500","30 Oct 2003","1178.85","1192.85","1173.65","1185.85"
"NIFTY 500","29 Oct 2003","1172.35","1176.25","1162.60","1174.85"
"NIFTY 500","28 Oct 2003","1176.10","1180.55","1160.85","1167.10"
"NIFTY 500","27 Oct 2003","1199.60","1202.85","1171.55","1173.45"
"NIFTY 500","25 Oct 2003","1197.00","1200.45","1191.20","1198.90"
"NIFTY 500","24 Oct 2003","1161.80","1183.95","1141.05","1180.40"
"NIFTY 500","23 Oct 2003","1172.40","1182.25","1153.55","1155.90"
"NIFTY 500","22 Oct 2003","1189.15","1196.20","1162.55","1169.55"
"NIFTY 500","21 Oct 2003","1215.25","1218.00","1177.65","1183.50"
"NIFTY 500","20 Oct 2003","1236.55","1237.20","1207.80","1211.05"
"NIFTY 500","17 Oct 2003","1232.10","1242.30","1224.70","1235.65"
"NIFTY 500","16 Oct 2003","1223.20","1232.00","1217.35","1226.90"
"NIFTY 500","15 Oct 2003","1206.75","1219.45","1192.00","1215.45"
"NIFTY 500","14 Oct 2003","1242.15","1242.15","1201.35","1206.05"
"NIFTY 500","13 Oct 2003","1214.40","1233.15","1214.40","1230.90"
"NIFTY 500","10 Oct 2003","1210.95","1215.20","1199.80","1208.25"
"NIFTY 500","09 Oct 2003","1192.60","1206.25","1192.60","1204.05"
"NIFTY 500","08 Oct 2003","1191.50","1197.90","1172.70","1186.50"
"NIFTY 500","07 Oct 2003","1196.15","1201.00","1179.70","1184.20"
"NIFTY 500","06 Oct 2003","1171.65","1190.90","1171.65","1188.25"
"NIFTY 500","03 Oct 2003","1151.45","1161.25","1148.90","1160.80"
"NIFTY 500","01 Oct 2003","1140.20","1151.95","1136.30","1142.30"
"NIFTY 500","30 Sep 2003","1134.80","1140.55","1130.60","1138.55"
"NIFTY 500","29 Sep 2003","1113.05","1133.50","1113.05","1126.40"
"NIFTY 500","26 Sep 2003","1091.90","1108.45","1091.90","1106.95"
"NIFTY 500","25 Sep 2003","1093.20","1102.35","1083.90","1086.70"
"NIFTY 500","24 Sep 2003","1069.80","1094.50","1063.00","1093.30"
"NIFTY 500","23 Sep 2003","1034.95","1065.60","1027.85","1061.15"
"NIFTY 500","22 Sep 2003","1055.70","1060.20","1036.35","1038.15"
"NIFTY 500","19 Sep 2003","1050.55","1059.20","1022.55","1050.50"
"NIFTY 500","18 Sep 2003","1073.65","1073.80","1040.85","1043.00"
"NIFTY 500","17 Sep 2003","1108.60","1111.65","1071.70","1078.45"
"NIFTY 500","16 Sep 2003","1075.30","1100.25","1046.20","1098.45"
"NIFTY 500","15 Sep 2003","1118.05","1118.05","1070.95","1075.45"
"NIFTY 500","12 Sep 2003","1150.45","1154.30","1114.45","1118.25"
"NIFTY 500","11 Sep 2003","1141.15","1156.10","1140.60","1143.45"
"NIFTY 500","10 Sep 2003","1137.20","1146.05","1129.20","1144.75"
"NIFTY 500","09 Sep 2003","1153.75","1157.00","1132.25","1138.05"
"NIFTY 500","08 Sep 2003","1136.15","1145.95","1136.15","1144.80"
"NIFTY 500","05 Sep 2003","1110.75","1129.05","1110.75","1127.55"
"NIFTY 500","04 Sep 2003","1109.20","1119.30","1098.10","1110.35"
"NIFTY 500","03 Sep 2003","1127.50","1132.65","1097.85","1102.40"
"NIFTY 500","02 Sep 2003","1129.90","1130.45","1111.65","1124.15"
"NIFTY 500","01 Sep 2003","1106.00","1123.30","1106.00","1121.85"
"NIFTY 500","29 Aug 2003","1094.75","1105.60","1094.75","1100.45"
"NIFTY 500","28 Aug 2003","1091.55","1094.35","1080.70","1086.05"
"NIFTY 500","27 Aug 2003","1062.75","1088.35","1062.75","1085.70"
"NIFTY 500","26 Aug 2003","1025.70","1065.20","1025.10","1062.05"
"NIFTY 500","25 Aug 2003","1066.20","1066.25","999.85","1020.35"
"NIFTY 500","22 Aug 2003","1050.95","1059.00","1043.70","1053.05"
"NIFTY 500","21 Aug 2003","1034.90","1045.25","1034.90","1042.35"
"NIFTY 500","20 Aug 2003","1033.05","1037.80","1024.85","1030.55"
"NIFTY 500","19 Aug 2003","1044.00","1049.40","1018.80","1023.55"
"NIFTY 500","18 Aug 2003","1010.00","1031.90","1010.00","1030.15"
"NIFTY 500","14 Aug 2003","1007.70","1019.00","1003.30","1007.20"
"NIFTY 500","13 Aug 2003","1002.65","1010.10","991.75","1008.55"
"NIFTY 500","12 Aug 2003","1006.25","1009.80","993.30","996.40"
"NIFTY 500","11 Aug 2003","983.50","1004.25","983.50","998.45"
"NIFTY 500","08 Aug 2003","971.10","986.60","971.10","985.60"
"NIFTY 500","07 Aug 2003","944.20","965.95","944.20","964.40"
"NIFTY 500","06 Aug 2003","941.00","957.30","936.55","941.50"
"NIFTY 500","05 Aug 2003","964.15","976.20","945.15","946.65"
"NIFTY 500","04 Aug 2003","945.35","962.30","942.40","960.95"
"NIFTY 500","01 Aug 2003","942.85","947.85","934.40","945.25"
"NIFTY 500","31 Jul 2003","940.90","950.50","935.30","938.55"
"NIFTY 500","30 Jul 2003","930.95","939.40","930.20","937.90"
"NIFTY 500","29 Jul 2003","923.30","927.80","914.20","926.60"
"NIFTY 500","28 Jul 2003","922.75","932.40","922.05","924.60"
"NIFTY 500","25 Jul 2003","905.05","919.50","904.00","918.90"
"NIFTY 500","24 Jul 2003","892.10","903.45","889.85","901.55"
"NIFTY 500","23 Jul 2003","887.65","893.50","880.70","886.35"
"NIFTY 500","22 Jul 2003","880.85","889.10","875.60","880.00"
"NIFTY 500","21 Jul 2003","907.90","909.00","885.60","887.50"
"NIFTY 500","18 Jul 2003","906.75","913.70","896.10","904.30"
"NIFTY 500","17 Jul 2003","928.80","935.55","910.20","914.00"
"NIFTY 500","16 Jul 2003","914.35","927.75","908.60","926.55"
"NIFTY 500","15 Jul 2003","927.95","928.50","905.50","915.00"
"NIFTY 500","14 Jul 2003","923.25","926.45","922.00","924.70"
"NIFTY 500","11 Jul 2003","915.30","924.35","913.20","915.50"
"NIFTY 500","10 Jul 2003","911.90","916.05","909.60","914.80"
"NIFTY 500","09 Jul 2003","914.65","915.50","902.35","904.70"
"NIFTY 500","08 Jul 2003","923.65","923.85","910.55","912.50"
"NIFTY 500","07 Jul 2003","915.75","920.00","909.35","915.70"
"NIFTY 500","04 Jul 2003","908.75","915.20","904.15","908.85"
"NIFTY 500","03 Jul 2003","905.60","912.95","895.00","907.45"
"NIFTY 500","02 Jul 2003","895.25","906.90","895.25","898.15"
"NIFTY 500","01 Jul 2003","897.85","900.70","889.90","894.00"
"NIFTY 500","30 Jun 2003","891.30","900.95","890.20","894.50"
"NIFTY 500","27 Jun 2003","884.15","888.95","874.15","888.15"
"NIFTY 500","26 Jun 2003","881.25","886.45","878.00","880.00"
"NIFTY 500","25 Jun 2003","868.00","879.10","868.00","877.00"
"NIFTY 500","24 Jun 2003","858.65","868.10","858.65","862.95"
"NIFTY 500","23 Jun 2003","877.10","880.25","860.05","861.80"
"NIFTY 500","20 Jun 2003","866.95","873.40","863.30","872.80"
"NIFTY 500","19 Jun 2003","867.25","872.55","863.90","867.45"
"NIFTY 500","18 Jun 2003","859.80","868.20","857.05","862.00"
"NIFTY 500","17 Jun 2003","844.70","857.25","844.70","856.40"
"NIFTY 500","16 Jun 2003","841.05","843.80","833.90","837.95"
"NIFTY 500","13 Jun 2003","841.25","844.15","836.80","840.10"
"NIFTY 500","12 Jun 2003","832.40","838.80","832.40","836.20"
"NIFTY 500","11 Jun 2003","824.35","831.20","819.25","827.80"
"NIFTY 500","10 Jun 2003","834.75","838.80","819.00","820.60"
"NIFTY 500","09 Jun 2003","832.70","837.25","830.75","835.55"
"NIFTY 500","06 Jun 2003","828.60","833.50","827.25","831.09"
"NIFTY 500","05 Jun 2003","828.10","835.80","822.10","825.65"
"NIFTY 500","04 Jun 2003","813.65","827.10","813.65","824.15"
"NIFTY 500","03 Jun 2003","812.00","814.15","805.55","812.20"
"NIFTY 500","02 Jun 2003","806.95","818.85","805.60","810.95"
"NIFTY 500","30 May 2003","798.30","813.50","796.35","807.20"
"NIFTY 500","29 May 2003","788.20","796.20","786.50","795.05"
"NIFTY 500","28 May 2003","782.65","786.95","778.05","786.15"
"NIFTY 500","27 May 2003","786.10","792.00","777.50","778.60"
"NIFTY 500","26 May 2003","773.90","785.15","772.65","784.10"
"NIFTY 500","23 May 2003","766.65","770.15","762.55","769.05"
"NIFTY 500","22 May 2003","759.65","764.85","759.15","761.15"
"NIFTY 500","21 May 2003","758.90","764.50","755.18","757.80"
"NIFTY 500","20 May 2003","743.05","756.05","740.05","754.20"
"NIFTY 500","19 May 2003","750.60","756.25","744.45","745.25"
