"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","02 Nov 2000","866.89","880.13","865.87","879.49"
"NIFTY 500","01 Nov 2000","853.17","870.13","853.17","866.50"
"NIFTY 500","31 Oct 2000","842.57","851.70","832.81","851.05"
"NIFTY 500","30 Oct 2000","854.16","857.52","839.79","842.52"
"NIFTY 500","27 Oct 2000","854.85","858.51","846.15","854.07"
"NIFTY 500","26 Oct 2000","851.05","854.94","844.77","854.79"
"NIFTY 500","25 Oct 2000","825.62","853.74","825.56","851.10"
"NIFTY 500","24 Oct 2000","817.94","825.65","809.46","825.49"
"NIFTY 500","23 Oct 2000","844.76","847.01","817.90","818.69"
"NIFTY 500","20 Oct 2000","841.57","864.76","841.57","844.48"
"NIFTY 500","19 Oct 2000","808.87","842.03","791.37","841.45"
"NIFTY 500","18 Oct 2000","825.30","825.30","798.75","809.01"
"NIFTY 500","17 Oct 2000","842.64","842.64","814.60","825.21"
"NIFTY 500","16 Oct 2000","840.40","875.19","840.40","843.12"
"NIFTY 500","13 Oct 2000","864.83","864.83","834.84","840.40"
"NIFTY 500","12 Oct 2000","858.01","867.14","844.20","865.03"
"NIFTY 500","11 Oct 2000","878.51","879.06","851.00","858.04"
"NIFTY 500","10 Oct 2000","905.24","910.81","879.51","880.27"
"NIFTY 500","09 Oct 2000","922.83","923.14","904.77","905.24"
"NIFTY 500","06 Oct 2000","924.76","925.65","906.12","922.81"
"NIFTY 500","05 Oct 2000","936.25","944.89","924.64","924.79"
"NIFTY 500","04 Oct 2000","927.36","939.13","922.37","936.17"
"NIFTY 500","03 Oct 2000","925.28","928.90","908.01","927.38"
"NIFTY 500","29 Sep 2000","922.99","935.58","920.24","925.39"
"NIFTY 500","28 Sep 2000","942.65","947.80","919.49","922.96"
"NIFTY 500","27 Sep 2000","928.95","945.82","910.32","942.76"
"NIFTY 500","26 Sep 2000","951.57","953.03","918.39","929.25"
"NIFTY 500","25 Sep 2000","915.01","952.24","915.01","951.64"
"NIFTY 500","22 Sep 2000","961.03","961.03","910.46","914.27"
"NIFTY 500","21 Sep 2000","978.61","978.69","960.56","961.12"
"NIFTY 500","20 Sep 2000","959.15","981.99","948.97","978.57"
"NIFTY 500","19 Sep 2000","980.62","988.95","933.80","958.97"
"NIFTY 500","18 Sep 2000","1027.52","1027.52","978.82","981.56"
"NIFTY 500","15 Sep 2000","1059.75","1061.88","1024.95","1028.33"
"NIFTY 500","14 Sep 2000","1067.77","1076.29","1053.92","1060.74"
"NIFTY 500","13 Sep 2000","1074.90","1089.81","1064.60","1067.77"
"NIFTY 500","12 Sep 2000","1069.64","1078.07","1063.92","1074.88"
"NIFTY 500","11 Sep 2000","1070.46","1084.75","1068.67","1069.40"
"NIFTY 500","08 Sep 2000","1062.60","1073.79","1062.60","1070.45"
"NIFTY 500","07 Sep 2000","1059.19","1070.60","1051.21","1062.55"
"NIFTY 500","06 Sep 2000","1052.74","1063.39","1044.62","1059.25"
"NIFTY 500","05 Sep 2000","1051.70","1056.32","1045.89","1051.86"
"NIFTY 500","04 Sep 2000","1026.83","1053.86","1026.83","1051.66"
"NIFTY 500","31 Aug 2000","1013.68","1027.14","1010.28","1026.45"
"NIFTY 500","30 Aug 2000","1004.52","1019.68","1004.52","1013.70"
"NIFTY 500","29 Aug 2000","1001.59","1005.85","994.52","1004.01"
"NIFTY 500","28 Aug 2000","1009.69","1014.04","1000.66","1002.09"
"NIFTY 500","25 Aug 2000","1007.98","1019.12","1005.82","1009.68"
"NIFTY 500","24 Aug 2000","992.97","1009.02","990.68","1007.97"
"NIFTY 500","23 Aug 2000","993.59","1005.00","990.30","992.59"
"NIFTY 500","22 Aug 2000","986.07","1002.93","986.07","993.60"
"NIFTY 500","21 Aug 2000","972.68","988.78","972.68","985.84"
"NIFTY 500","18 Aug 2000","957.77","976.10","955.17","972.68"
"NIFTY 500","17 Aug 2000","964.74","972.96","953.79","957.67"
"NIFTY 500","16 Aug 2000","937.28","966.52","937.28","964.66"
