Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-NOV-2013,6332.05,6342.95,6311.15,6317.35,23856924,858.24
01-NOV-2013,6289.75,6332.6,6286.95,6307.2,191639789,7371.92
31-OCT-2013,6237.15,6309.05,6235.9,6299.15,239607127,9560.54
30-OCT-2013,6230.8,6269.2,6222.6,6251.7,177583848,6861.84
29-OCT-2013,6107.55,6228.05,6079.2,6220.9,197348371,7572.87
28-OCT-2013,6155.1,6168.75,6094.1,6101.1,146340691,5282.79
25-OCT-2013,6154,6174.75,6125.95,6144.9,144531462,5582.82
24-OCT-2013,6162.8,6252.45,6142.95,6164.35,176235553,6737.2
23-OCT-2013,6209.55,6217.95,6116.6,6178.35,188285223,6921.65
22-OCT-2013,6192.3,6220.1,6181.8,6202.8,161943721,5850.72
21-OCT-2013,6202,6218.95,6163.3,6204.95,196989071,7341.25
18-OCT-2013,6070.9,6201.45,6070.9,6189.35,250339955,8353.23
17-OCT-2013,6098.5,6110.75,6032.55,6045.85,230561463,8158.31
15-OCT-2013,6147.55,6156.3,6056.55,6089.05,218304334,6745.02
14-OCT-2013,6093,6124.1,6082.9,6112.7,142173640,5989.37
11-OCT-2013,6104.85,6107.6,6046.4,6096.2,180834257,8283.09
10-OCT-2013,6001.05,6033.95,5979.8,6020.95,159607329,6163.68
09-OCT-2013,5893.25,6015.5,5877.1,6007.45,192037125,6904.96
08-OCT-2013,5975,5981.7,5913,5928.4,158527593,5950.47
07-OCT-2013,5889.05,5912,5825.85,5906.15,156387945,5348.49
04-OCT-2013,5891.3,5950.45,5885,5907.3,191469248,6052.47
03-OCT-2013,5819.1,5917.6,5802.7,5909.7,199793235,7481.97
01-OCT-2013,5756.1,5786.45,5700.95,5780.05,159247089,5075.7
30-SEP-2013,5801.05,5810.2,5718.5,5735.3,155674706,5642.77
27-SEP-2013,5905.55,5909.2,5819.3,5833.2,163067913,5303.31
26-SEP-2013,5872.8,5917.65,5864.1,5882.25,220589737,7761.99
25-SEP-2013,5901.55,5910.55,5811.1,5873.85,200162195,6988.96
24-SEP-2013,5855,5938.4,5854.55,5892.45,187578148,7002.84
23-SEP-2013,5945.8,5989.4,5871.4,5889.75,188322506,6596.17
20-SEP-2013,6104.55,6130.95,5932.85,6012.1,318645265,11587.18
19-SEP-2013,6044.15,6142.5,6040.15,6115.55,287191701,11291.28
18-SEP-2013,5872.75,5916.9,5840.2,5899.45,153585493,5369.63
