Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-NOV-2006,3793.05,3809.65,3771,3805.35,61269479,3313.66
02-NOV-2006,3769.4,3805.5,3761.9,3791.2,57711779,3121.02
01-NOV-2006,3744.1,3777.7,3737,3767.05,70546138,3544.68
31-OCT-2006,3770.5,3782.85,3726.75,3744.1,87732761,4104.67
30-OCT-2006,3739.35,3776.05,3719.45,3769.1,85610530,4741.7
27-OCT-2006,3676.85,3747.35,3674.8,3739.35,81362792,4114.12
26-OCT-2006,3656.2,3686.85,3651.2,3677.55,97769504,4879.43
23-OCT-2006,3683.4,3690.85,3651.2,3657.3,45483007,2204.29
21-OCT-2006,3680.85,3708.4,3662.85,3683.5,10531676,507.73
20-OCT-2006,3678.75,3714.25,3665.5,3676.85,71910699,3349.3
19-OCT-2006,3711.1,3726.95,3655.05,3677.8,87373113,3801.97
18-OCT-2006,3715.2,3727,3701.3,3710.65,98341144,4457.77
17-OCT-2006,3726.4,3742.5,3691.35,3715,72710899,3601.25
16-OCT-2006,3668.9,3729.7,3668.9,3723.95,74544319,4114.25
13-OCT-2006,3621.65,3682.35,3621.65,3676.05,77576341,4180.34
12-OCT-2006,3562.55,3626.8,3545.95,3621.05,67079130,3436.45
11-OCT-2006,3581.55,3614.5,3544.25,3558.55,64789296,3439.29
10-OCT-2006,3567.45,3597.2,3563.1,3571.05,61272629,2759.2
09-OCT-2006,3570.05,3585.35,3540.45,3567.15,52281974,2351.09
06-OCT-2006,3565.45,3583.75,3560.9,3569.7,83455201,3254.23
05-OCT-2006,3515.6,3574.95,3515.6,3564.9,74898110,3523.08
04-OCT-2006,3570.95,3580.05,3508.65,3515.35,68278198,3819.03
03-OCT-2006,3588.95,3606.2,3561.7,3569.6,55658446,2746.91
29-SEP-2006,3572.15,3599.8,3564.7,3588.4,71280518,3291.25
28-SEP-2006,3579.95,3589.3,3560.75,3571.75,82845862,4431.1
27-SEP-2006,3571.75,3603.7,3568.4,3579.3,65272270,3388.77
26-SEP-2006,3523.7,3576.75,3517.15,3571.75,67280328,3513.92
25-SEP-2006,3545.1,3568.65,3514.85,3523.45,59718564,2973.4
22-SEP-2006,3554.05,3562.45,3525.4,3544.05,60146361,3402.22
21-SEP-2006,3506.7,3556.35,3506.7,3553.05,65971047,3470.59
20-SEP-2006,3457.85,3509.85,3419.75,3502.8,62440086,3133.57
19-SEP-2006,3493.5,3514.95,3438.8,3457.35,69738853,3565.22
18-SEP-2006,3478.65,3506.2,3478.4,3492.75,60726317,2990.54
15-SEP-2006,3471.65,3487.45,3434.55,3478.6,71320369,3491.83
14-SEP-2006,3454.6,3484,3454.6,3471.6,88081056,4891.78
13-SEP-2006,3389.85,3470.65,3389.8,3454.55,71103462,3702.22
12-SEP-2006,3363.3,3395.05,3328.45,3389.9,80287997,3899.77
11-SEP-2006,3470.35,3486.65,3351.3,3366.15,78022331,3948.22
08-SEP-2006,3454.65,3477.95,3442.85,3471.45,75299798,3823.16
07-SEP-2006,3477.15,3478.85,3438.8,3454.55,61695576,3097.76
06-SEP-2006,3474.4,3490.7,3465.8,3477.25,64632141,3020.81
05-SEP-2006,3471.4,3488.6,3457.9,3473.75,49637615,2330.87
04-SEP-2006,3435.55,3483.1,3435.55,3476.85,55794558,2672.11
01-SEP-2006,3414,3439.5,3402.9,3435.45,71355586,3118.13
31-AUG-2006,3404.5,3452.3,3403.65,3413.9,98616609,4581.17
30-AUG-2006,3425.8,3440.2,3407.75,3430.35,61671400,2963.16
29-AUG-2006,3405.05,3434.95,3396.1,3425.7,60674227,2935.97
28-AUG-2006,3386,3405.3,3377.75,3401.1,46753742,2051.97
25-AUG-2006,3368.55,3402.7,3368.55,3385.95,68458051,3290.78
24-AUG-2006,3336.65,3379.55,3304.85,3370.4,70794902,3625.17
23-AUG-2006,3363.6,3369.65,3325.1,3335.8,52060467,2595.68
22-AUG-2006,3369.6,3398.35,3351.5,3364.6,58614547,2780.25
21-AUG-2006,3356.8,3374.9,3332.9,3366,48935056,2623.86
18-AUG-2006,3354.5,3366.25,3332.2,3356.75,57031969,2744.7
17-AUG-2006,3359.7,3385.15,3328.6,3353.9,72570406,3678.42
16-AUG-2006,3314.75,3377.1,3314.75,3356.05,69199131,3288.12
