Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-NOV-2012,5696.35,5711.3,5682.55,5697.7,111162841,4924.33
01-NOV-2012,5609.85,5649.75,5601.95,5645.05,107393402,4633.11
31-OCT-2012,5596.75,5624.4,5583.05,5619.7,112075316,4918.55
30-OCT-2012,5656.35,5689.9,5589.9,5597.9,116678775,5550.86
29-OCT-2012,5665.2,5698.3,5645.1,5665.6,93555816,3953.86
26-OCT-2012,5683.55,5697.2,5641.75,5664.3,101663820,4718.97
25-OCT-2012,5688.8,5718.75,5685.7,5705.3,158343061,7359.34
23-OCT-2012,5715.65,5720.8,5681.45,5691.4,81501427,3803.5
22-OCT-2012,5667.6,5721.55,5658.05,5717.15,103372318,4994.75
19-OCT-2012,5703.3,5711.7,5660,5684.25,124262817,5410.95
18-OCT-2012,5675.3,5722.5,5650.55,5718.7,144097860,6264.78
17-OCT-2012,5681.1,5684.35,5633.9,5660.25,123974371,5259.46
16-OCT-2012,5705.6,5714,5635.6,5648,117415701,5043.3
15-OCT-2012,5674.25,5693.7,5651.05,5687.25,93693482,3962.97
12-OCT-2012,5681.7,5725,5659.35,5676.05,130076802,6475.3
11-OCT-2012,5663.5,5721.1,5636.95,5708.05,148283847,6542.71
10-OCT-2012,5671.15,5686.5,5647.05,5652.15,126294361,4564.39
09-OCT-2012,5708.15,5728.65,5677.9,5704.6,119300415,5047.01
08-OCT-2012,5751.85,5751.85,5666.2,5676,142319000,5853.56
05-OCT-2012,5815,5815.35,4888.2,5746.95,255569804,12995.8
04-OCT-2012,5751.55,5807.25,5751.35,5787.6,171404290,6954.74
03-OCT-2012,5727.7,5743.25,5715.8,5731.25,165037864,6654.02
01-OCT-2012,5704.75,5722.95,5694,5718.8,123138510,4798.17
28-SEP-2012,5684.8,5735.15,5683.45,5703.3,163660805,6948.17
27-SEP-2012,5673.75,5693.7,5639.7,5649.5,238991690,9368.11
26-SEP-2012,5653.4,5672.8,5638.65,5663.45,170771069,6754.98
25-SEP-2012,5674.9,5702.7,5652.45,5673.9,341387116,12551.6
24-SEP-2012,5691.95,5709.85,5662.75,5669.6,210419441,8380.56
21-SEP-2012,5577,5720,5575.45,5691.15,278023825,11101.32
20-SEP-2012,5536.95,5581.35,5534.9,5554.25,165684942,6768.88
18-SEP-2012,5602.4,5620.55,5586.45,5600.05,175488961,7272.63
17-SEP-2012,5631.75,5652.2,5585.15,5610,258912780,10924.57
14-SEP-2012,5528.35,5586.65,5526.95,5577.65,233783031,9263.53
13-SEP-2012,5435.2,5447.45,5421.85,5435.35,110774177,4199.37
12-SEP-2012,5404.45,5435.55,5393.95,5431,139920871,4885.71
11-SEP-2012,5336.1,5393.35,5332.1,5390,112878090,4081.42
10-SEP-2012,5361.9,5375.45,5349.1,5363.45,109607506,4183.01
08-SEP-2012,5343.65,5366.3,5343.45,5358.7,11221064,376.34
07-SEP-2012,5309.45,5347.15,5309.2,5342.1,149584722,5590.04
06-SEP-2012,5217.65,5260.6,5217.65,5238.4,134008569,4622.16
05-SEP-2012,5243.9,5259.5,5215.7,5225.7,126162071,4904.68
04-SEP-2012,5249.15,5278.35,5233.2,5274,106316880,3726.52
03-SEP-2012,5276.5,5295.8,5243.15,5253.75,110380869,4015.55
31-AUG-2012,5298.2,5303.25,5238.9,5258.5,167393902,6600.58
30-AUG-2012,5268.6,5342.8,5255.05,5315.05,226494000,8374.69
