Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
03-NOV-2011,24.89,26.18,24.42,24.66,24.89,-0.23,-0.92
04-NOV-2011,21.13,23.88,21.13,23.43,21.13,2.30,10.88
08-NOV-2011,20.75,24.74,20.75,23.71,20.75,2.96,14.27
09-NOV-2011,23.71,24.82,20.16,24.3,23.71,0.59,2.49
11-NOV-2011,24.3,25.93,24.27,24.74,24.3,0.44,1.81
14-NOV-2011,24.74,25.47,24,25.29,24.74,0.55,2.22
15-NOV-2011,25.29,26.03,24.43,25.97,25.29,0.68,2.69
16-NOV-2011,25.97,27.22,24.93,25.04,25.97,-0.93,-3.58
17-NOV-2011,25.04,27.27,24.73,26.92,25.04,1.88,7.51
18-NOV-2011,26.92,28.23,26.28,26.58,26.92,-0.34,-1.26
21-NOV-2011,23.07,28.69,23.07,28.61,23.07,5.54,24.01
22-NOV-2011,22.64,28.9,22.64,27.35,22.64,4.71,20.80
23-NOV-2011,27.35,32.71,26.98,30.68,27.35,3.33,12.18
24-NOV-2011,24.84,32.52,24.84,27.95,24.84,3.11,12.52
25-NOV-2011,27.95,30.13,27.95,29.12,27.95,1.17,4.19
28-NOV-2011,28.63,28.77,26.64,26.64,28.63,-1.99,-6.95
29-NOV-2011,26.64,28.15,26.2,26.87,26.64,0.23,0.86
30-NOV-2011,26.46,27.85,26.15,26.55,26.46,0.09,0.34
01-DEC-2011,26.55,26.55,23.37,25.02,26.55,-1.53,-5.76
02-DEC-2011,24.09,24.9,23.38,23.99,24.09,-0.10,-0.42
05-DEC-2011,23.4,25.75,23.4,25.02,23.4,1.62,6.92
07-DEC-2011,24.52,26.58,24.52,26.46,24.52,1.94,7.91
08-DEC-2011,25,29,25,28.58,25,3.58,14.32
09-DEC-2011,28.03,29.98,28.03,29.53,28.03,1.50,5.35
12-DEC-2011,27.21,30,27.21,29.27,27.21,2.06,7.57
13-DEC-2011,28.47,29.61,28.11,28.11,28.47,-0.36,-1.26
