Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
03-NOV-2010,21.25,21.66,19.23,21.53,21.25,0.28,1.32
04-NOV-2010,21.53,21.53,19.26,19.36,21.53,-2.17,-10.08
05-NOV-2010,19.36,19.43,17.71,19.22,19.36,-0.14,-0.72
08-NOV-2010,19.22,20.12,17.49,19.61,19.22,0.39,2.03
09-NOV-2010,19.61,19.78,17.17,18.75,19.61,-0.86,-4.39
10-NOV-2010,18.75,19.26,16.45,19.08,18.75,0.33,1.76
11-NOV-2010,19.08,19.91,16.38,19.36,19.08,0.28,1.47
12-NOV-2010,19.36,22.41,17.63,21.63,19.36,2.27,11.73
15-NOV-2010,21.63,22.48,19.26,20.25,21.63,-1.38,-6.38
16-NOV-2010,20.25,22.42,17.52,21.13,20.25,0.88,4.35
18-NOV-2010,21.13,22.82,17.59,20.62,21.13,-0.51,-2.41
19-NOV-2010,20.62,21.91,18.41,21.6,20.62,0.98,4.75
22-NOV-2010,21.6,21.85,19.44,19.93,21.6,-1.67,-7.73
23-NOV-2010,19.93,24.95,19.4,23.26,19.93,3.33,16.71
24-NOV-2010,23.26,24.95,20.95,24.68,23.26,1.42,6.10
25-NOV-2010,24.68,24.68,21.12,21.63,24.68,-3.05,-12.36
26-NOV-2010,21.63,23.84,20.1,22.58,21.63,0.95,4.39
29-NOV-2010,22.58,22.89,21.31,21.31,22.58,-1.27,-5.62
30-NOV-2010,21.31,22.22,20.64,20.71,21.31,-0.60,-2.82
01-DEC-2010,20.71,20.71,19.08,19.2,20.71,-1.51,-7.29
02-DEC-2010,19.2,19.51,17.56,18.8,19.2,-0.40,-2.08
03-DEC-2010,18.8,19.28,17.14,18.6,18.8,-0.20,-1.06
06-DEC-2010,18.6,19.37,17.46,19.37,18.6,0.77,4.14
07-DEC-2010,19.37,19.79,17.75,19.24,19.37,-0.13,-0.67
08-DEC-2010,19.24,20.95,18.21,20.43,19.24,1.19,6.19
09-DEC-2010,20.43,23.01,18.22,22.6,20.43,2.17,10.62
10-DEC-2010,22.6,22.86,21.43,21.63,22.6,-0.97,-4.29
13-DEC-2010,21.63,23.72,20.14,22.57,21.63,0.94,4.35
14-DEC-2010,22.57,22.83,21.29,21.46,22.57,-1.11,-4.92
15-DEC-2010,21.46,22.09,20.67,21.42,21.46,-0.04,-0.19
16-DEC-2010,21.42,21.6,19.94,20.24,21.42,-1.18,-5.51
20-DEC-2010,20.24,21.88,20.24,20.78,20.24,0.54,2.67
21-DEC-2010,20.78,20.78,18.75,19.77,20.78,-1.01,-4.86
22-DEC-2010,19.77,20.06,18.67,19.56,19.77,-0.21,-1.06
23-DEC-2010,19.56,19.78,18.81,19.03,19.56,-0.53,-2.71
24-DEC-2010,19.03,19.31,17.62,17.65,19.03,-1.38,-7.25
27-DEC-2010,17.65,18.69,17.05,18.45,17.65,0.80,4.53
28-DEC-2010,18.45,18.83,17.89,18.13,18.45,-0.32,-1.73
29-DEC-2010,18.13,18.32,17.13,17.13,18.13,-1.00,-5.52
30-DEC-2010,17.13,17.98,16.48,17.02,17.13,-0.11,-0.64
31-DEC-2010,17.02,17.05,16.34,16.56,17.02,-0.46,-2.70
03-JAN-2011,16.56,17.1,15.28,16.99,16.56,0.43,2.60
04-JAN-2011,16.99,17.52,15.76,17.03,16.99,0.04,0.24
05-JAN-2011,17.03,18.43,16.8,17.88,17.03,0.85,4.99
06-JAN-2011,17.88,18.87,16.69,18.2,17.88,0.32,1.79
07-JAN-2011,18.2,20.87,17.64,20.82,18.2,2.62,14.40
10-JAN-2011,20.82,23.24,19.61,23.16,20.82,2.34,11.24
11-JAN-2011,23.16,24.11,21.73,22.33,23.16,-0.83,-3.58
12-JAN-2011,22.33,23.76,20.44,21.41,22.33,-0.92,-4.12
13-JAN-2011,21.41,23.49,21.15,23.15,21.41,1.74,8.13
14-JAN-2011,23.15,24.06,20.99,23.81,23.15,0.66,2.85
17-JAN-2011,23.81,25.52,23.57,23.57,23.81,-0.24,-1.01
18-JAN-2011,23.57,23.64,21.44,21.46,23.57,-2.11,-8.95
19-JAN-2011,21.46,21.84,20.6,21.09,21.46,-0.37,-1.72
20-JAN-2011,21.09,21.77,20.06,21.01,21.09,-0.08,-0.38
21-JAN-2011,21.01,21.49,19.06,21.03,21.01,0.02,0.10
24-JAN-2011,21.03,21.14,20.1,20.17,21.03,-0.86,-4.09
25-JAN-2011,20.17,21.1,18.93,20.78,20.17,0.61,3.02
27-JAN-2011,20.78,22.27,19.08,22.09,20.78,1.31,6.30
28-JAN-2011,22.09,23.79,21.74,22.58,22.09,0.49,2.22
31-JAN-2011,22.58,24.67,22.58,23.41,22.58,0.83,3.68
01-FEB-2011,23.41,24.69,21.67,23.73,23.41,0.32,1.37
02-FEB-2011,23.73,23.73,21.65,23.52,23.73,-0.21,-0.88
03-FEB-2011,23.52,23.54,22.46,22.69,23.52,-0.83,-3.53
04-FEB-2011,22.69,24.77,21.96,24.41,22.69,1.72,7.58
07-FEB-2011,24.41,25.44,23.59,24.69,24.41,0.28,1.15
08-FEB-2011,24.69,25.32,23.17,24.74,24.69,0.05,0.20
09-FEB-2011,24.74,26.03,24.53,25.24,24.74,0.50,2.02
10-FEB-2011,25.24,26.11,23.92,24.82,25.24,-0.42,-1.66
11-FEB-2011,24.82,24.84,21.86,23.47,24.82,-1.35,-5.44
14-FEB-2011,23.47,23.69,21.56,22.58,23.47,-0.89,-3.79
15-FEB-2011,22.58,23.43,20.76,22.85,22.58,0.27,1.20
16-FEB-2011,22.85,23.59,21.7,23.05,22.85,0.20,0.88
17-FEB-2011,23.05,23.41,22.04,22.57,23.05,-0.48,-2.08
18-FEB-2011,22.57,24.52,20.38,24.18,22.57,1.61,7.13
21-FEB-2011,24.18,26.27,23.65,24.91,24.18,0.73,3.02
22-FEB-2011,24.91,28.13,24.91,26.85,24.91,1.94,7.79
