date,rate,source,is_reference_rate,source_files
1999-01-08,42.5206,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-11,42.5206,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-12,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-13,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-14,42.5206,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-15,42.4701,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-18,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-19,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-21,42.5098,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-22,42.5098,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-25,42.5098,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-27,42.4899,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-28,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-01-29,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-01,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-02,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-03,42.4809,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-04,42.4592,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-05,42.4701,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-08,42.4701,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-09,42.4394,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-10,42.4394,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-11,42.4592,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-12,42.4502,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-15,42.4196,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-16,42.4899,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-17,42.4899,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-18,42.4502,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-19,42.4394,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-22,42.3998,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-23,42.4394,RBI_REFERENCE_RATE,True,BankWise.xls
1999-02-24,42.4899,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-01,42.5098,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-03,42.5496,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-04,42.5297,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-05,42.5297,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-08,42.5007,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-09,42.4701,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-10,42.4394,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-11,42.4502,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-12,42.4304,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-15,42.4196,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-16,42.4106,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-17,42.4196,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-19,42.3998,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-22,42.3908,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-23,42.3908,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-24,42.3998,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-26,42.3998,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-30,42.4304,RBI_REFERENCE_RATE,True,BankWise.xls
1999-03-31,42.4304,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-05,42.4394,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-06,42.5098,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-07,42.6403,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-08,42.6694,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-09,42.6803,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-12,42.7004,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-13,42.7095,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-15,42.8302,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-16,42.7606,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-19,42.8504,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-20,42.7899,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-21,42.7095,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-22,42.7405,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-23,42.7405,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-26,42.9498,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-28,42.8192,RBI_REFERENCE_RATE,True,BankWise.xls
1999-04-29,42.8192,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-03,42.7807,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-04,42.7497,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-05,42.7296,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-06,42.7296,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-07,42.7497,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-10,42.7296,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-11,42.7204,RBI_REFERENCE_RATE,True,BankWise.xls
