Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Aug 2013","FUTCOM","GOLD         ","05AUG2013","-","0","28598.00","28630.00","27700.00","28228.00","28477.00","423","423.000 GRMS ","12035.40","220"
"03 Aug 2013","FUTCOM","GOLD         ","05AUG2013","-","0","28568.00","28576.00","28422.00","28477.00","28486.00","100","100.000 GRMS ","2848.62","467"
"02 Aug 2013","FUTCOM","GOLD         ","05AUG2013","-","0","28130.00","28739.00","27825.00","28486.00","28220.00","664","664.000 GRMS ","18684.21","646"
"01 Aug 2013","FUTCOM","GOLD         ","05AUG2013","-","0","28300.00","28499.00","28055.00","28220.00","28207.00","3023","3023.000 GRMS ","85358.61","968"
"31 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","28790.00","29010.00","27926.00","28207.00","28705.00","21200","21200.000 GRMS ","603606.36","3042"
"30 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","28300.00","28770.00","28075.00","28705.00","28277.00","24799","24799.000 GRMS ","705029.94","7018"
"29 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","27566.00","28444.00","27552.00","28277.00","27631.00","29363","29363.000 GRMS ","820968.97","9445"
"27 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","27470.00","27644.00","27470.00","27631.00","27405.00","3575","3575.000 GRMS ","98695.77","11154"
"26 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","27442.00","27543.00","27185.00","27405.00","27404.00","27572","27572.000 GRMS ","754653.92","11176"
"25 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","27255.00","27448.00","27012.00","27404.00","27240.00","30163","30163.000 GRMS ","820993.26","11636"
"24 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","27600.00","27716.00","27213.00","27240.00","27574.00","28587","28587.000 GRMS ","785788.32","12233"
"23 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","27601.00","27668.00","27453.00","27574.00","27560.00","21555","21555.000 GRMS ","594101.68","12811"
"22 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26786.00","27620.00","26786.00","27560.00","26705.00","29859","29859.000 GRMS ","815112.05","12820"
"20 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26739.00","26745.00","26690.00","26705.00","26695.00","1167","1167.000 GRMS ","31179.67","12140"
"19 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26700.00","26814.00","26611.00","26695.00","26658.00","19409","19409.000 GRMS ","518220.48","12414"
"18 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26414.00","26688.00","26414.00","26658.00","26347.00","24596","24596.000 GRMS ","653054.22","12401"
"17 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26400.00","26798.00","26240.00","26347.00","26469.00","33762","33762.000 GRMS ","895726.35","11735"
"16 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26380.00","26620.00","26340.00","26469.00","26438.00","24948","24948.000 GRMS ","660643.28","12039"
"15 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26794.00","26925.00","26388.00","26438.00","26743.00","24488","24488.000 GRMS ","653812.94","12358"
"13 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26640.00","26777.00","26640.00","26743.00","26601.00","1651","1651.000 GRMS ","44117.80","12730"
"12 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26693.00","26693.00","26444.00","26601.00","26677.00","24487","24487.000 GRMS ","650910.65","12963"
"11 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26185.00","26858.00","26185.00","26677.00","26103.00","31654","31654.000 GRMS ","844074.45","13162"
"10 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26009.00","26251.00","25976.00","26103.00","26010.00","24896","24896.000 GRMS ","650353.72","12863"
"09 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26147.00","26296.00","25976.00","26010.00","26107.00","25096","25096.000 GRMS ","656801.61","12430"
"08 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","25988.00","26192.00","25887.00","26107.00","26034.00","23570","23570.000 GRMS ","613858.40","12392"
"06 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","25850.00","26046.00","25850.00","26034.00","25838.00","2115","2115.000 GRMS ","55004.19","12005"
"05 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26175.00","26175.00","25710.00","25838.00","26143.00","35996","35996.000 GRMS ","933704.54","12167"
"04 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26202.00","26269.00","26109.00","26143.00","26296.00","15859","15859.000 GRMS ","415278.77","11950"
"03 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26052.00","26430.00","26020.00","26296.00","25907.00","34567","34567.000 GRMS ","905941.99","12444"
"02 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26005.00","26240.00","25821.00","25907.00","25981.00","29950","29950.000 GRMS ","780227.39","11902"
"01 Jul 2013","FUTCOM","GOLD         ","05AUG2013","-","0","25769.00","26075.00","25574.00","25981.00","25669.00","33693","33693.000 GRMS ","868282.69","12437"
"29 Jun 2013","FUTCOM","GOLD         ","05AUG2013","-","0","25650.00","25735.00","25635.00","25669.00","25598.00","3077","3077.000 GRMS ","79015.71","12557"
"28 Jun 2013","FUTCOM","GOLD         ","05AUG2013","-","0","25247.00","25655.00","24830.00","25598.00","25375.00","88228","88228.000 GRMS ","2221657.74","12792"
"27 Jun 2013","FUTCOM","GOLD         ","05AUG2013","-","0","26151.00","26279.00","25265.00","25375.00","26136.00","65517","65517.000 GRMS ","1694598.44","13070"
