Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Aug 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24535.00","24706.00","24500.00","24705.00","24675.00","85","85.000 GRMS ","2090.01","97"
"04 Aug 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24610.00","24701.00","24570.00","24675.00","24761.00","125","125.000 GRMS ","3078.62","100"
"03 Aug 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24818.00","24820.00","24710.00","24761.00","24813.00","1201","1201.000 GRMS ","29753.58","105"
"31 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24668.00","24892.00","24535.00","24813.00","24718.00","14766","14766.000 GRMS ","364276.06","728"
"30 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24737.00","24835.00","24565.00","24718.00","24720.00","16476","16476.000 GRMS ","406625.47","3116"
"29 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24778.00","24835.00","24691.00","24720.00","24752.00","15365","15365.000 GRMS ","380556.41","4333"
"28 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24799.00","24869.00","24701.00","24752.00","24899.00","16607","16607.000 GRMS ","411336.61","4750"
"27 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24830.00","25018.00","24756.00","24899.00","24731.00","22822","22822.000 GRMS ","568248.95","5110"
"24 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24559.00","24821.00","24451.00","24731.00","24734.00","22510","22510.000 GRMS ","553010.17","5607"
"23 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24780.00","24910.00","24702.00","24734.00","24677.00","18904","18904.000 GRMS ","469007.55","6208"
"22 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24811.00","24811.00","24572.00","24677.00","24897.00","19770","19770.000 GRMS ","487542.41","6819"
"21 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","24961.00","25030.00","24865.00","24897.00","25034.00","15987","15987.000 GRMS ","398802.11","7496"
"20 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","25475.00","25475.00","24904.00","25034.00","25498.00","19822","19822.000 GRMS ","496451.50","7838"
"17 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","25733.00","25756.00","25461.00","25498.00","25771.00","13158","13158.000 GRMS ","336960.64","8437"
"16 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","25810.00","25810.00","25710.00","25771.00","25847.00","10644","10644.000 GRMS ","274106.82","7997"
"15 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","25953.00","25970.00","25764.00","25847.00","25927.00","11648","11648.000 GRMS ","301447.88","7970"
"14 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26025.00","26034.00","25908.00","25927.00","26024.00","10572","10572.000 GRMS ","274449.02","7894"
"13 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26115.00","26115.00","25937.00","26024.00","26058.00","10871","10871.000 GRMS ","282789.34","7480"
"10 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26088.00","26158.00","26017.00","26058.00","26064.00","9232","9232.000 GRMS ","240841.41","7178"
"09 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26202.00","26242.00","26040.00","26064.00","26213.00","12523","12523.000 GRMS ","327275.55","7159"
"08 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26008.00","26248.00","25871.00","26213.00","26032.00","16245","16245.000 GRMS ","423009.52","6811"
"07 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26276.00","26285.00","25883.00","26032.00","26328.00","16872","16872.000 GRMS ","440773.25","7625"
"06 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26369.00","26375.00","26187.00","26328.00","26352.00","9856","9856.000 GRMS ","258950.08","7556"
"03 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26244.00","26387.00","26217.00","26352.00","26195.00","8056","8056.000 GRMS ","211798.47","7615"
"02 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26380.00","26380.00","26130.00","26195.00","26411.00","13722","13722.000 GRMS ","360065.79","8188"
"01 Jul 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26531.00","26531.00","26391.00","26411.00","26471.00","9968","9968.000 GRMS ","263691.10","7629"
"30 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26625.00","26635.00","26390.00","26471.00","26671.00","15499","15499.000 GRMS ","411102.26","7435"
"29 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26590.00","26868.00","26590.00","26671.00","26524.00","13743","13743.000 GRMS ","367470.12","7515"
"26 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26538.00","26589.00","26412.00","26524.00","26485.00","12083","12083.000 GRMS ","320130.34","8525"
"25 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26570.00","26614.00","26460.00","26485.00","26533.00","9461","9461.000 GRMS ","250934.74","8640"
"24 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26619.00","26670.00","26480.00","26533.00","26597.00","11539","11539.000 GRMS ","306597.09","8794"
"23 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26770.00","26800.00","26583.00","26597.00","26702.00","12616","12616.000 GRMS ","336774.12","8604"
"22 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27039.00","27039.00","26681.00","26702.00","27081.00","11820","11820.000 GRMS ","317434.75","8459"
"19 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27138.00","27187.00","27025.00","27081.00","27156.00","8334","8334.000 GRMS ","225860.52","8625"
"18 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26939.00","27245.00","26909.00","27156.00","26880.00","14299","14299.000 GRMS ","387456.43","8902"
"17 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26919.00","26920.00","26803.00","26880.00","26956.00","8588","8588.000 GRMS ","230740.76","7989"
"16 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27011.00","27069.00","26869.00","26956.00","27029.00","9843","9843.000 GRMS ","265523.15","8132"
"15 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26935.00","27092.00","26738.00","27029.00","26894.00","12976","12976.000 GRMS ","349147.47","8097"
"12 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26904.00","26975.00","26840.00","26894.00","26892.00","8582","8582.000 GRMS ","230943.57","8033"
"11 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26958.00","26970.00","26790.00","26892.00","26971.00","11002","11002.000 GRMS ","295767.81","7865"
"10 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26865.00","27072.00","26837.00","26971.00","26868.00","10671","10671.000 GRMS ","287629.47","8088"
"09 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26822.00","26926.00","26770.00","26868.00","26795.00","11774","11774.000 GRMS ","316063.88","7912"
"08 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26780.00","26840.00","26725.00","26795.00","26721.00","8720","8720.000 GRMS ","233611.40","8201"
"05 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26851.00","26884.00","26572.00","26721.00","26838.00","14095","14095.000 GRMS ","376766.95","8340"
"04 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27088.00","27140.00","26813.00","26838.00","27078.00","15330","15330.000 GRMS ","413440.35","8573"
"03 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27111.00","27189.00","27008.00","27078.00","27142.00","11380","11380.000 GRMS ","308674.98","8795"
"02 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27033.00","27220.00","27003.00","27142.00","27026.00","10092","10092.000 GRMS ","273640.00","8812"
"01 Jun 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27096.00","27324.00","26966.00","27026.00","27125.00","13430","13430.000 GRMS ","364022.90","8584"
"29 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27100.00","27171.00","27025.00","27125.00","27112.00","4933","4933.000 GRMS ","133663.36","8383"
"28 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27083.00","27149.00","26941.00","27112.00","27119.00","2592","2592.000 GRMS ","70155.95","7286"
"27 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27186.00","27221.00","27079.00","27119.00","27132.00","1409","1409.000 GRMS ","38249.63","6417"
"26 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27384.00","27435.00","27108.00","27132.00","27399.00","1557","1557.000 GRMS ","42428.20","6085"
"25 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27314.00","27440.00","27310.00","27399.00","27318.00","752","752.000 GRMS ","20577.77","5773"
"22 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27430.00","27530.00","27300.00","27318.00","27345.00","1024","1024.000 GRMS ","28055.05","5515"
"21 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27487.00","27543.00","27320.00","27345.00","27503.00","987","987.000 GRMS ","27064.68","5386"
"20 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27512.00","27595.00","27416.00","27503.00","27526.00","561","561.000 GRMS ","15426.77","5276"
"19 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27760.00","27768.00","27494.00","27526.00","27849.00","917","917.000 GRMS ","25356.57","5158"
"18 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27745.00","27910.00","27744.00","27849.00","27697.00","725","725.000 GRMS ","20196.74","4976"
"15 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27633.00","27712.00","27476.00","27697.00","27674.00","875","875.000 GRMS ","24172.50","4799"
"14 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27662.00","27820.00","27610.00","27674.00","27782.00","592","592.000 GRMS ","16408.72","4547"
"13 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27340.00","27803.00","27271.00","27782.00","27411.00","1034","1034.000 GRMS ","28450.50","4479"
"12 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27179.00","27470.00","27112.00","27411.00","27059.00","713","713.000 GRMS ","19488.70","4196"
"11 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27110.00","27175.00","27013.00","27059.00","27117.00","237","237.000 GRMS ","6423.10","3904"
"08 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27106.00","27263.00","27080.00","27117.00","27179.00","450","450.000 GRMS ","12209.59","3853"
"07 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27100.00","27282.00","27065.00","27179.00","27135.00","499","499.000 GRMS ","13558.81","3782"
"06 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27209.00","27270.00","27038.00","27135.00","27094.00","490","490.000 GRMS ","13304.21","3609"
"05 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26995.00","27222.00","26970.00","27094.00","27049.00","634","634.000 GRMS ","17179.44","3576"
"04 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26864.00","27110.00","26864.00","27049.00","26811.00","168","168.000 GRMS ","4540.01","3396"
"01 May 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26876.00","26876.00","26679.00","26811.00","26917.00","426","426.000 GRMS ","11409.75","3326"
"30 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27342.00","27490.00","26861.00","26917.00","27443.00","504","504.000 GRMS ","13684.44","3233"
"29 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27317.00","27470.00","27255.00","27443.00","27379.00","248","248.000 GRMS ","6791.79","3270"
"28 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27240.00","27400.00","27151.00","27379.00","27261.00","287","287.000 GRMS ","7838.31","3188"
"27 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26925.00","27317.00","26882.00","27261.00","26861.00","372","372.000 GRMS ","10083.69","3115"
"24 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27078.00","27143.00","26799.00","26861.00","27090.00","618","618.000 GRMS ","16690.84","2997"
"23 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26826.00","27106.00","26823.00","27090.00","26811.00","289","289.000 GRMS ","7798.00","2754"
"22 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27007.00","27140.00","26791.00","26811.00","27103.00","282","282.000 GRMS ","7608.44","2712"
"21 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27025.00","27120.00","26921.00","27103.00","27012.00","272","272.000 GRMS ","7356.75","2698"
"20 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26954.00","27136.00","26950.00","27012.00","26965.00","392","392.000 GRMS ","10599.14","2613"
"17 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26800.00","26976.00","26781.00","26965.00","26791.00","352","352.000 GRMS ","9469.75","2506"
"16 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26835.00","26979.00","26701.00","26791.00","26871.00","485","485.000 GRMS ","13024.56","2368"
"15 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26710.00","26893.00","26623.00","26871.00","26707.00","167","167.000 GRMS ","4461.01","2182"
"14 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26592.00","26751.00","26542.00","26707.00","26851.00","207","207.000 GRMS ","5519.64","2154"
"13 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26900.00","26950.00","26795.00","26851.00","26925.00","223","223.000 GRMS ","5991.34","2137"
"10 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26750.00","26997.00","26700.00","26925.00","26678.00","243","243.000 GRMS ","6535.79","2098"
"09 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26765.00","26800.00","26631.00","26678.00","26912.00","296","296.000 GRMS ","7901.57","2076"
"08 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27035.00","27060.00","26820.00","26912.00","27016.00","282","282.000 GRMS ","7590.59","1972"
"07 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27048.00","27117.00","27001.00","27016.00","27132.00","164","164.000 GRMS ","4435.95","1916"
"06 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27050.00","27237.00","27033.00","27132.00","26745.00","246","246.000 GRMS ","6677.65","1891"
"02 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26860.00","26894.00","26680.00","26745.00","26878.00","97","97.000 GRMS ","2594.03","1850"
"01 Apr 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26550.00","26912.00","26420.00","26878.00","26444.00","201","201.000 GRMS ","5350.86","1805"
"31 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26470.00","26624.00","26314.00","26444.00","26526.00","1378","1378.000 GRMS ","36450.19","1736"
"30 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26781.00","26799.00","26457.00","26526.00","26874.00","1014","1014.000 GRMS ","26938.48","1172"
"27 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27063.00","27063.00","26830.00","26874.00","27119.00","122","122.000 GRMS ","3285.53","565"
"26 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26972.00","27361.00","26972.00","27119.00","26818.00","411","411.000 GRMS ","11171.23","505"
"25 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26594.00","26827.00","26594.00","26818.00","26621.00","51","51.000 GRMS ","1364.24","137"
"24 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26521.00","26675.00","26521.00","26621.00","26461.00","51","51.000 GRMS ","1358.34","118"
"23 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26365.00","26470.00","26365.00","26461.00","26469.00","27","27.000 GRMS ","713.99","117"
"20 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26210.00","26490.00","26194.00","26469.00","26168.00","20","20.000 GRMS ","527.15","112"
"19 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26274.00","26274.00","26112.00","26168.00","25957.00","18","18.000 GRMS ","471.60","104"
"18 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","25940.00","25969.00","25940.00","25957.00","26038.00","10","10.000 GRMS ","259.57","101"
"17 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26062.00","26101.00","26002.00","26038.00","26177.00","70","70.000 GRMS ","1824.83","97"
"16 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26220.00","26220.00","26150.00","26177.00","26165.00","10","10.000 GRMS ","261.77","53"
"13 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26130.00","26215.00","26130.00","26165.00","26023.00","13","13.000 GRMS ","340.13","48"
"12 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","25995.00","26050.00","25995.00","26023.00","26360.00","7","7.000 GRMS ","182.16","46"
"11 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","26360.00","26360.00","0","0.000 GRMS ","0.00","46"
"10 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26360.00","26360.00","26360.00","26360.00","26469.00","1","1.000 GRMS ","26.36","46"
"09 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","26469.00","26469.00","0","0.000 GRMS ","0.00","46"
"06 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26729.00","26729.00","26331.00","26469.00","26801.00","18","18.000 GRMS ","478.15","46"
"05 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","26801.00","26801.00","0","0.000 GRMS ","0.00","43"
"04 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","26801.00","26801.00","0","0.000 GRMS ","0.00","43"
"03 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26800.00","26802.00","26800.00","26801.00","27147.00","11","11.000 GRMS ","294.81","43"
"02 Mar 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27108.00","27180.00","27108.00","27147.00","26621.00","21","21.000 GRMS ","570.26","49"
"28 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26550.00","26833.00","26541.00","26621.00","26626.00","5","5.000 GRMS ","133.10","31"
"27 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","26626.00","26626.00","0","0.000 GRMS ","0.00","27"
"26 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","26626.00","26626.00","26626.00","26626.00","27126.00","2","2.000 GRMS ","53.25","27"
"25 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","27126.00","27126.00","0","0.000 GRMS ","0.00","28"
"24 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","27126.00","27126.00","0","0.000 GRMS ","0.00","28"
"23 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","27126.00","27126.00","0","0.000 GRMS ","0.00","28"
"20 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","27126.00","27126.00","0","0.000 GRMS ","0.00","28"
"19 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","27126.00","27126.00","0","0.000 GRMS ","0.00","28"
"18 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","27126.00","27126.00","0","0.000 GRMS ","0.00","28"
"17 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","","","","27126.00","27126.00","0","0.000 GRMS ","0.00","28"
"16 Feb 2015","FUTCOM","GOLD         ","05AUG2015","-","0","27162.00","27162.00","27089.00","27126.00","27105.00","2","2.000 GRMS ","54.25","28"
