Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Feb 2018","FUTCOM","GOLD         ","05FEB2018","-","0","30420.00","30420.00","30222.00","30335.00","30367.00","285","285.000 GRMS ","8630.57","606"
"02 Feb 2018","FUTCOM","GOLD         ","05FEB2018","-","0","30660.00","30720.00","30244.00","30367.00","30505.00","772","772.000 GRMS ","23571.39","947"
"01 Feb 2018","FUTCOM","GOLD         ","05FEB2018","-","0","30189.00","30570.00","30041.00","30505.00","30117.00","1535","1535.000 GRMS ","46558.39","1379"
"31 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","30069.00","30167.00","30052.00","30117.00","30052.00","5951","5951.000 GRMS ","179242.16","2219"
"30 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29978.00","30170.00","29954.00","30052.00","30060.00","8577","8577.000 GRMS ","257905.09","3727"
"29 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","30150.00","30150.00","29980.00","30060.00","30361.00","6910","6910.000 GRMS ","207811.91","4330"
"25 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","30300.00","30464.00","30170.00","30361.00","30249.00","7039","7039.000 GRMS ","213548.94","5273"
"24 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29935.00","30291.00","29916.00","30249.00","29911.00","9179","9179.000 GRMS ","276320.60","5859"
"23 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29873.00","29932.00","29781.00","29911.00","29834.00","6740","6740.000 GRMS ","201368.59","5824"
"22 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29699.00","29863.00","29699.00","29834.00","29755.00","7057","7057.000 GRMS ","210327.32","5958"
"19 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29601.00","29780.00","29595.00","29755.00","29645.00","5567","5567.000 GRMS ","165437.94","6096"
"18 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29650.00","29700.00","29550.00","29645.00","29757.00","6349","6349.000 GRMS ","188055.19","5949"
"17 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29801.00","29829.00","29680.00","29757.00","29822.00","6266","6266.000 GRMS ","186509.76","5920"
"16 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29799.00","29850.00","29740.00","29822.00","29752.00","7657","7657.000 GRMS ","228183.25","5915"
"15 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29600.00","29779.00","29600.00","29752.00","29547.00","5501","5501.000 GRMS ","163496.08","5973"
"12 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29450.00","29580.00","29420.00","29547.00","29390.00","8185","8185.000 GRMS ","241431.15","5895"
"11 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29309.00","29406.00","29293.00","29390.00","29324.00","6577","6577.000 GRMS ","192989.76","6337"
"10 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29135.00","29430.00","29121.00","29324.00","29156.00","10078","10078.000 GRMS ","295240.81","6226"
"09 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29258.00","29267.00","29140.00","29156.00","29261.00","6238","6238.000 GRMS ","182193.92","6176"
"08 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29193.00","29299.00","29165.00","29261.00","29217.00","5638","5638.000 GRMS ","164820.80","6349"
"05 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29250.00","29284.00","29155.00","29217.00","29230.00","5811","5811.000 GRMS ","169819.04","6005"
"04 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29187.00","29245.00","29061.00","29230.00","29225.00","7363","7363.000 GRMS ","214627.33","6073"
"03 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29193.00","29270.00","29165.00","29225.00","29162.00","5889","5889.000 GRMS ","172072.38","6044"
"02 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29150.00","29225.00","29111.00","29162.00","29123.00","5170","5170.000 GRMS ","150829.20","5959"
"01 Jan 2018","FUTCOM","GOLD         ","05FEB2018","-","0","29160.00","29184.00","29101.00","29123.00","29156.00","1468","1468.000 GRMS ","42774.41","6036"
"29 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29030.00","29175.00","28955.00","29156.00","29012.00","6900","6900.000 GRMS ","200405.55","6021"
"28 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28970.00","29078.00","28910.00","29012.00","28942.00","6110","6110.000 GRMS ","177325.44","5928"
"27 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28805.00","28959.00","28805.00","28942.00","28829.00","5531","5531.000 GRMS ","159836.85","6185"
"26 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28676.00","28839.00","28676.00","28829.00","28653.00","3599","3599.000 GRMS ","103526.27","6337"
"22 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28484.00","28666.00","28465.00","28653.00","28501.00","5378","5378.000 GRMS ","153650.67","6475"
"21 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28502.00","28550.00","28433.00","28501.00","28493.00","5247","5247.000 GRMS ","149500.34","6802"
"20 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28452.00","28524.00","28438.00","28493.00","28405.00","5016","5016.000 GRMS ","142829.01","6889"
"19 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28462.00","28494.00","28374.00","28405.00","28470.00","4823","4823.000 GRMS ","137179.13","6803"
"18 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28358.00","28490.00","28291.00","28470.00","28254.00","4963","4963.000 GRMS ","140904.58","6822"
"15 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28273.00","28399.00","28205.00","28254.00","28317.00","5287","5287.000 GRMS ","149616.98","7051"
"14 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28365.00","28429.00","28221.00","28317.00","28195.00","6590","6590.000 GRMS ","186750.60","7110"
"13 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28200.00","28254.00","28102.00","28195.00","28142.00","5276","5276.000 GRMS ","148601.42","7382"
"12 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28365.00","28368.00","28055.00","28142.00","28347.00","7635","7635.000 GRMS ","215270.61","7554"
"11 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28535.00","28535.00","28334.00","28347.00","28533.00","6260","6260.000 GRMS ","178061.26","7471"
"08 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28650.00","28650.00","28471.00","28533.00","28667.00","7466","7466.000 GRMS ","213125.33","6560"
"07 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28916.00","28924.00","28653.00","28667.00","28967.00","7406","7406.000 GRMS ","213119.72","6508"
"06 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","28960.00","29046.00","28931.00","28967.00","28887.00","5825","5825.000 GRMS ","168825.65","6124"
"05 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29125.00","29179.00","28853.00","28887.00","29133.00","8432","8432.000 GRMS ","244943.34","6392"
"04 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29270.00","29270.00","29085.00","29133.00","29395.00","6507","6507.000 GRMS ","189663.36","5860"
"01 Dec 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29237.00","29510.00","29170.00","29395.00","29146.00","8491","8491.000 GRMS ","248832.55","5346"
"30 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29380.00","29395.00","29117.00","29146.00","29334.00","6771","6771.000 GRMS ","198330.49","5426"
"29 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29561.00","29588.00","29322.00","29334.00","29544.00","3389","3389.000 GRMS ","99787.49","4729"
"28 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29590.00","29616.00","29508.00","29544.00","29587.00","1247","1247.000 GRMS ","36855.66","4314"
"27 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29620.00","29630.00","29529.00","29587.00","29517.00","1701","1701.000 GRMS ","50312.14","4108"
"24 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29622.00","29632.00","29510.00","29517.00","29558.00","484","484.000 GRMS ","14308.94","3404"
"23 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29636.00","29644.00","29540.00","29558.00","29659.00","387","387.000 GRMS ","11451.38","3314"
"22 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29476.00","29670.00","29436.00","29659.00","29483.00","448","448.000 GRMS ","13247.29","3132"
"21 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29568.00","29579.00","29412.00","29483.00","29512.00","365","365.000 GRMS ","10769.20","3007"
"20 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29794.00","29856.00","29487.00","29512.00","29820.00","557","557.000 GRMS ","16537.02","2923"
"17 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29545.00","29858.00","29516.00","29820.00","29663.00","585","585.000 GRMS ","17343.26","2847"
"16 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29687.00","29687.00","29604.00","29663.00","29670.00","185","185.000 GRMS ","5483.41","2641"
"15 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29712.00","29879.00","29660.00","29670.00","29763.00","349","349.000 GRMS ","10391.50","2594"
"14 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29680.00","29790.00","29588.00","29763.00","29743.00","402","402.000 GRMS ","11937.45","2441"
"13 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29654.00","29760.00","29650.00","29743.00","29658.00","172","172.000 GRMS ","5112.91","2270"
"10 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29782.00","29845.00","29624.00","29658.00","29807.00","202","202.000 GRMS ","6012.06","2218"
"09 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29629.00","29829.00","29611.00","29807.00","29706.00","244","244.000 GRMS ","7252.33","2169"
"08 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29621.00","29726.00","29569.00","29706.00","29575.00","257","257.000 GRMS ","7623.05","2092"
"07 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29449.00","29599.00","29449.00","29575.00","29455.00","304","304.000 GRMS ","8977.51","1978"
"06 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29250.00","29482.00","29215.00","29455.00","29191.00","304","304.000 GRMS ","8922.36","1880"
"03 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29358.00","29363.00","29162.00","29191.00","29332.00","339","339.000 GRMS ","9927.82","1977"
"02 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29400.00","29441.00","29327.00","29332.00","29327.00","46","46.000 GRMS ","1350.41","2030"
"01 Nov 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29208.00","29415.00","29200.00","29327.00","29262.00","154","154.000 GRMS ","4517.09","2031"
"31 Oct 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29448.00","29450.00","29243.00","29262.00","29477.00","111","111.000 GRMS ","3254.08","2042"
"30 Oct 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29350.00","29501.00","29330.00","29477.00","29399.00","107","107.000 GRMS ","3146.27","2049"
"27 Oct 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29295.00","29419.00","29285.00","29399.00","29327.00","196","196.000 GRMS ","5752.84","2010"
"26 Oct 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29492.00","29535.00","29309.00","29327.00","29474.00","196","196.000 GRMS ","5761.88","1889"
"25 Oct 2017","FUTCOM","GOLD         ","05FEB2018","-","0","29500.00","29535.00","29341.00","29474.00","29589.00","190","190.000 GRMS ","5597.14","1822"
