Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Oct 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30847.00","30994.00","30659.00","30996.00","30722.00","289","289.000 GRMS ","8919.41","316"
"04 Oct 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30962.00","30970.00","30671.00","30722.00","30979.00","503","503.000 GRMS ","15528.21","351"
"03 Oct 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31070.00","31348.00","30959.00","30979.00","31033.00","1131","1131.000 GRMS ","35068.11","455"
"01 Oct 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31155.00","31250.00","30975.00","31033.00","31201.00","7321","7321.000 GRMS ","227659.80","795"
"29 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31251.00","31267.00","31156.00","31201.00","31217.00","4853","4853.000 GRMS ","151410.42","3529"
"28 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31290.00","31317.00","31180.00","31217.00","31349.00","28700","28700.000 GRMS ","897011.91","6172"
"27 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31276.00","31420.00","31091.00","31349.00","31310.00","39491","39491.000 GRMS ","1233709.87","9026"
"26 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31429.00","31499.00","31205.00","31310.00","31400.00","39349","39349.000 GRMS ","1233565.51","9765"
"25 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31478.00","31520.00","31360.00","31400.00","31433.00","28580","28580.000 GRMS ","899046.90","10555"
"24 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31405.00","31540.00","31272.00","31433.00","31506.00","37034","37034.000 GRMS ","1162031.55","11463"
"22 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31532.00","31532.00","31455.00","31506.00","31544.00","2067","2067.000 GRMS ","65111.55","12121"
"21 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31885.00","31937.00","31513.00","31544.00","31913.00","50521","50521.000 GRMS ","1600779.80","12207"
"20 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","32000.00","32000.00","31831.00","31913.00","32018.00","31647","31647.000 GRMS ","1009522.73","11608"
"19 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31990.00","32095.00","31905.00","32018.00","31945.00","17310","17310.000 GRMS ","554118.96","11630"
"18 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31774.00","31959.00","31581.00","31945.00","31811.00","43126","43126.000 GRMS ","1370112.81","11714"
"17 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31842.00","31931.00","31751.00","31811.00","31880.00","28412","28412.000 GRMS ","904415.56","12468"
"15 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31879.00","31889.00","31829.00","31880.00","31869.00","1945","1945.000 GRMS ","61981.19","13423"
"14 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","32253.00","32393.00","31816.00","31869.00","32326.00","54221","54221.000 GRMS ","1739269.71","13514"
"13 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31895.00","32421.00","31667.00","32326.00","31866.00","60589","60589.000 GRMS ","1939745.45","13579"
"12 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31911.00","32105.00","31727.00","31866.00","31876.00","55242","55242.000 GRMS ","1764971.46","13459"
"11 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31917.00","31973.00","31808.00","31876.00","31907.00","25120","25120.000 GRMS ","801372.32","13641"
"10 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31964.00","32043.00","31851.00","31907.00","31896.00","31810","31810.000 GRMS ","1016342.41","13942"
"08 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31948.00","31975.00","31874.00","31896.00","31966.00","4396","4396.000 GRMS ","140297.03","14667"
"07 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31421.00","32004.00","31256.00","31966.00","31467.00","65445","65445.000 GRMS ","2071649.15","15015"
"06 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31490.00","31818.00","31405.00","31467.00","31468.00","61948","61948.000 GRMS ","1960451.73","14671"
"05 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31435.00","31543.00","31427.00","31468.00","31449.00","34008","34008.000 GRMS ","1070789.58","15938"
"04 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31323.00","31487.00","31300.00","31449.00","31283.00","39104","39104.000 GRMS ","1227828.91","16066"
"03 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31311.00","31422.00","31186.00","31283.00","31342.00","26242","26242.000 GRMS ","820763.14","15003"
"01 Sep 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31264.00","31405.00","31264.00","31342.00","31206.00","5941","5941.000 GRMS ","186201.66","15485"
"31 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30800.00","31231.00","30656.00","31206.00","30837.00","54338","54338.000 GRMS ","1679087.50","15856"
"30 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30816.00","30870.00","30756.00","30837.00","30847.00","28272","28272.000 GRMS ","871039.87","15543"
"29 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30952.00","31007.00","30734.00","30847.00","30948.00","33613","33613.000 GRMS ","1038457.88","15222"
"28 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","31011.00","31045.00","30856.00","30948.00","31070.00","35543","35543.000 GRMS ","1099838.16","15739"
"27 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30984.00","31110.00","30957.00","31070.00","30947.00","29259","29259.000 GRMS ","908107.62","16003"
"25 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30890.00","30955.00","30885.00","30947.00","30877.00","2991","2991.000 GRMS ","92490.75","16026"
"24 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30780.00","30899.00","30730.00","30877.00","30803.00","31504","31504.000 GRMS ","970729.77","16081"
"23 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30370.00","30840.00","30370.00","30803.00","30317.00","44490","44490.000 GRMS ","1365130.70","16084"
"22 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30350.00","30440.00","30285.00","30317.00","30318.00","30890","30890.000 GRMS ","938503.40","15717"
"21 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30157.00","30335.00","30157.00","30318.00","30184.00","28578","28578.000 GRMS ","864441.29","15878"
"20 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30158.00","30220.00","30121.00","30184.00","30166.00","12359","12359.000 GRMS ","372949.77","15135"
"18 Aug 2012","FUTCOM","GOLD         ","05OCT2012","-","0","30166.00","30170.00","30148.00","30166.00","30164.00","891","891.000 GRMS ","26871.73","14974"
