Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Oct 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8426.00","8500.00","8335.00","8811.00","8388.00","310","310.000 GRMS ","2615.95","838"
"04 Oct 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8590.00","8610.00","8320.00","8388.00","8510.00","835","835.000 GRMS ","7125.80","894"
"03 Oct 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8860.00","8865.00","8502.00","8510.00","8859.00","2972","2972.000 GRMS ","26002.15","2045"
"30 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8923.00","8923.00","8852.00","8859.00","8919.00","5754","5754.000 GRMS ","51099.18","3259"
"29 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","9020.00","9020.00","8882.00","8919.00","9037.00","19425","19425.000 GRMS ","173941.76","6905"
"28 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8980.00","9057.00","8965.00","9037.00","8963.00","30423","30423.000 GRMS ","274264.68","10076"
"27 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8875.00","8974.00","8865.00","8963.00","8864.00","34350","34350.000 GRMS ","306368.24","12163"
"26 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8868.00","8910.00","8807.00","8864.00","8858.00","30746","30746.000 GRMS ","272365.26","13251"
"25 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8893.00","8893.00","8753.00","8858.00","8893.00","37210","37210.000 GRMS ","327924.83","13609"
"23 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8866.00","8897.00","8866.00","8893.00","8871.00","1845","1845.000 GRMS ","16399.34","13867"
"22 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8815.00","8915.00","8803.00","8871.00","8784.00","37219","37219.000 GRMS ","329826.13","14020"
"21 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8773.00","8804.00","8690.00","8784.00","8775.00","40060","40060.000 GRMS ","350303.95","14414"
"20 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8719.00","8875.00","8671.00","8775.00","8740.00","42684","42684.000 GRMS ","373533.90","14058"
"19 Sep 2006","FUTCOM","GOLD         ","05OCT2006","-","0","8894.00","8899.00","8726.00","8740.00","8908.00","44654","44654.000 GRMS ","393723.17","15113"
