Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Jun 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8815.00","8900.00","8800.00","8779.00","8826.00","178","178.000 GRMS ","1572.01","281"
"04 Jun 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8735.00","8853.00","8726.00","8826.00","8796.00","260","260.000 GRMS ","2287.62","510"
"02 Jun 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8772.00","8800.00","8760.00","8796.00","8772.00","274","274.000 GRMS ","2408.38","691"
"01 Jun 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8714.00","8780.00","8683.00","8772.00","8694.00","2301","2301.000 GRMS ","20044.82","1042"
"31 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8659.00","8708.00","8651.00","8694.00","8650.00","14011","14011.000 GRMS ","121511.42","2073"
"30 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8637.00","8674.00","8632.00","8650.00","8633.00","14080","14080.000 GRMS ","121816.86","7855"
"29 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8611.00","8687.00","8600.00","8633.00","8623.00","22467","22467.000 GRMS ","194224.38","9628"
"28 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8642.00","8642.00","8594.00","8623.00","8653.00","6653","6653.000 GRMS ","57343.83","11325"
"26 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8646.00","8658.00","8643.00","8653.00","8644.00","966","966.000 GRMS ","8355.69","11933"
"25 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8650.00","8664.00","8618.00","8644.00","8642.00","14734","14734.000 GRMS ","127356.61","11974"
"24 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8731.00","8737.00","8622.00","8642.00","8734.00","23712","23712.000 GRMS ","205896.92","12622"
"23 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8726.00","8769.00","8690.00","8734.00","8724.00","20970","20970.000 GRMS ","183107.78","12850"
"22 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8774.00","8805.00","8715.00","8724.00","8780.00","20260","20260.000 GRMS ","177541.54","13474"
"21 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8783.00","8794.00","8721.00","8780.00","8791.00","21913","21913.000 GRMS ","191967.97","12964"
"19 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8798.00","8804.00","8789.00","8791.00","8797.00","779","779.000 GRMS ","6850.88","13454"
"18 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8786.00","8833.00","8744.00","8797.00","8780.00","28242","28242.000 GRMS ","248221.05","13526"
"17 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8856.00","8867.00","8740.00","8780.00","8843.00","29912","29912.000 GRMS ","263228.79","13368"
"16 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8963.00","8972.00","8828.00","8843.00","8978.00","25922","25922.000 GRMS ","230762.61","14215"
"15 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","8926.00","8988.00","8885.00","8978.00","8938.00","26276","26276.000 GRMS ","234866.98","12230"
"14 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9036.00","9036.00","8920.00","8938.00","9031.00","20551","20551.000 GRMS ","184305.64","13374"
"12 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9029.00","9033.00","9025.00","9031.00","9030.00","789","789.000 GRMS ","7124.46","12501"
"11 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9033.00","9047.00","8990.00","9030.00","9011.00","22482","22482.000 GRMS ","202739.81","12710"
"10 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9110.00","9118.00","8995.00","9011.00","9115.00","34316","34316.000 GRMS ","310959.92","13073"
"09 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9162.00","9185.00","9060.00","9115.00","9156.00","25500","25500.000 GRMS ","232602.11","11554"
"08 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9186.00","9197.00","9116.00","9156.00","9193.00","24342","24342.000 GRMS ","222802.16","10617"
"07 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9204.00","9224.00","9160.00","9193.00","9215.00","16074","16074.000 GRMS ","147815.32","10010"
"05 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9215.00","9217.00","9208.00","9215.00","9210.00","749","749.000 GRMS ","6900.69","9497"
"04 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9182.00","9246.00","9130.00","9210.00","9189.00","27675","27675.000 GRMS ","254436.17","9584"
"03 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9115.00","9199.00","9096.00","9189.00","9113.00","23186","23186.000 GRMS ","211897.79","10328"
"02 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9123.00","9135.00","9051.00","9113.00","9135.00","20696","20696.000 GRMS ","188113.06","11151"
"01 May 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9192.00","9192.00","9104.00","9135.00","9203.00","16087","16087.000 GRMS ","147053.31","10870"
"30 Apr 2007","FUTCOM","GOLD         ","05JUN2007","-","0","9220.00","9255.00","9170.00","9203.00","9215.00","16364","16364.000 GRMS ","150553.56","9927"
