Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Apr 2005","FUTCOM","GOLD         ","05APR2005","-","0","6065.00","6094.00","5951.00","6127.00","6099.00","148","148.000 GRMS ","897.78","97"
"04 Apr 2005","FUTCOM","GOLD         ","05APR2005","-","0","6046.00","6105.00","6046.00","6099.00","6090.00","126","126.000 GRMS ","768.45","210"
"02 Apr 2005","FUTCOM","GOLD         ","05APR2005","-","0","6038.00","6098.00","6038.00","6090.00","6080.00","45","45.000 GRMS ","273.62","309"
"01 Apr 2005","FUTCOM","GOLD         ","05APR2005","-","0","6109.00","6130.00","6061.00","6080.00","6103.00","263","263.000 GRMS ","1604.35","342"
"31 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6131.00","6139.00","6081.00","6103.00","6136.00","2776","2776.000 GRMS ","16989.24","519"
"30 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6127.00","6145.00","6107.00","6136.00","6126.00","1698","1698.000 GRMS ","10400.19","1611"
"29 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6134.00","6137.00","6125.00","6126.00","6128.00","1316","1316.000 GRMS ","8068.22","2197"
"28 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6120.00","6130.00","6098.00","6128.00","6128.00","2483","2483.000 GRMS ","15175.97","2432"
"24 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6132.00","6141.00","6121.00","6128.00","6134.00","2353","2353.000 GRMS ","14424.34","2885"
"23 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6185.00","6185.00","6051.00","6134.00","6192.00","5134","5134.000 GRMS ","31489.12","2913"
"22 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6204.00","6212.00","6179.00","6192.00","6204.00","3815","3815.000 GRMS ","23633.03","3181"
"21 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6288.00","6288.00","6192.00","6204.00","6292.00","6059","6059.000 GRMS ","37787.10","3569"
"19 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6295.00","6297.00","6290.00","6292.00","6289.00","333","333.000 GRMS ","2095.88","3210"
"18 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6297.00","6301.00","6262.00","6289.00","6294.00","4586","4586.000 GRMS ","28801.33","3271"
"17 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6325.00","6329.00","6283.00","6294.00","6322.00","6432","6432.000 GRMS ","40544.21","3154"
"16 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6300.00","6325.00","6299.00","6322.00","6301.00","3213","3213.000 GRMS ","20293.28","2999"
"15 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6300.00","6328.00","6295.00","6301.00","6296.00","4808","4808.000 GRMS ","30329.35","3130"
"14 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6334.00","6334.00","6290.00","6296.00","6340.00","5302","5302.000 GRMS ","33468.85","3266"
"12 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6338.00","6341.00","6334.00","6340.00","6339.00","642","642.000 GRMS ","4069.24","3324"
"11 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6303.00","6349.00","6284.00","6339.00","6305.00","5895","5895.000 GRMS ","37247.33","3548"
"10 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6313.00","6317.00","6288.00","6305.00","6306.00","3369","3369.000 GRMS ","21233.92","3110"
"09 Mar 2005","FUTCOM","GOLD         ","05APR2005","-","0","6279.00","6312.00","6277.00","6306.00","6273.00","4652","4652.000 GRMS ","29269.14","3172"
