Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Apr 2024","FUTCOM","GOLD         ","05APR2024","-","0","69840.00","70899.00","69649.00","70189.00","70037.00","15","15.000 GRMS ","1050.71","17"
"04 Apr 2024","FUTCOM","GOLD         ","05APR2024","-","0","70100.00","70275.00","69750.00","70037.00","69778.00","96","96.000 GRMS ","6711.54","24"
"03 Apr 2024","FUTCOM","GOLD         ","05APR2024","-","0","69475.00","69999.00","69182.00","69778.00","68983.00","142","142.000 GRMS ","9857.70","130"
"02 Apr 2024","FUTCOM","GOLD         ","05APR2024","-","0","68700.00","69180.00","68545.00","68983.00","68289.00","80","80.000 GRMS ","5505.22","226"
"01 Apr 2024","FUTCOM","GOLD         ","05APR2024","-","0","68699.00","69487.00","68021.00","68289.00","67677.00","688","688.000 GRMS ","47261.67","284"
"28 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","66497.00","67850.00","66428.00","67677.00","66367.00","6592","6592.000 GRMS ","441238.28","787"
"27 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","66198.00","66499.00","66018.00","66367.00","66114.00","4701","4701.000 GRMS ","311536.07","3812"
"26 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65949.00","66439.00","65880.00","66114.00","66022.00","5983","5983.000 GRMS ","395558.89","6055"
"25 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65858.00","66242.00","65858.00","66022.00","65858.00","2268","2268.000 GRMS ","149921.19","7807"
"22 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","66057.00","66301.00","65810.00","65858.00","66189.00","6614","6614.000 GRMS ","436704.11","8453"
"21 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","66100.00","66943.00","65852.00","66189.00","65750.00","8744","8744.000 GRMS ","582059.65","10228"
"20 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65599.00","65856.00","65540.00","65750.00","65583.00","4794","4794.000 GRMS ","314772.24","12157"
"19 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65609.00","65719.00","65375.00","65583.00","65608.00","4335","4335.000 GRMS ","284060.44","12538"
"18 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65348.00","65700.00","65180.00","65608.00","65542.00","4000","4000.000 GRMS ","261761.28","13317"
"15 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65659.00","65897.00","65510.00","65542.00","65595.00","5135","5135.000 GRMS ","337375.63","13827"
"14 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65800.00","65843.00","65434.00","65595.00","65897.00","3782","3782.000 GRMS ","248402.77","15148"
"13 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65520.00","66030.00","65450.00","65897.00","65481.00","4036","4036.000 GRMS ","265048.64","16005"
"12 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65932.00","66044.00","65382.00","65481.00","66035.00","7253","7253.000 GRMS ","476867.77","16548"
"11 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","66023.00","66182.00","65900.00","66035.00","66023.00","3772","3772.000 GRMS ","249068.17","17520"
"08 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65599.00","66356.00","65416.00","66023.00","65406.00","6287","6287.000 GRMS ","414205.62","17862"
"07 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","65205.00","65587.00","65180.00","65406.00","65178.00","5986","5986.000 GRMS ","391448.63","17387"
"06 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","64702.00","65250.00","64679.00","65178.00","64845.00","5455","5455.000 GRMS ","354361.49","17041"
"05 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","64331.00","65140.00","64331.00","64845.00","64462.00","7937","7937.000 GRMS ","513638.22","16491"
"04 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","63401.00","64575.00","63401.00","64462.00","63563.00","7548","7548.000 GRMS ","482729.56","15964"
"01 Mar 2024","FUTCOM","GOLD         ","05APR2024","-","0","62567.00","63611.00","62403.00","63563.00","62567.00","9438","9438.000 GRMS ","594474.27","14778"
"29 Feb 2024","FUTCOM","GOLD         ","05APR2024","-","0","62270.00","62688.00","62118.00","62567.00","62249.00","4859","4859.000 GRMS ","303413.03","13237"
"28 Feb 2024","FUTCOM","GOLD         ","05APR2024","-","0","62215.00","62360.00","62077.00","62249.00","62301.00","3091","3091.000 GRMS ","192273.02","12889"
"27 Feb 2024","FUTCOM","GOLD         ","05APR2024","-","0","62200.00","62385.00","62180.00","62301.00","62149.00","3226","3226.000 GRMS ","200962.78","12996"
"26 Feb 2024","FUTCOM","GOLD         ","05APR2024","-","0","62327.00","62340.00","62050.00","62149.00","62345.00","2867","2867.000 GRMS ","178325.27","13033"
