Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"03 Oct 2025","FUTCOM","GOLD         ","03OCT2025","-","0","116437.00","117520.00","115869.00","117367.00","116782.00","49","49.000 GRMS ","5724.24","103"
"01 Oct 2025","FUTCOM","GOLD         ","03OCT2025","-","0","116890.00","116994.00","116434.00","116782.00","115866.00","25","25.000 GRMS ","2919.18","129"
"30 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","116517.00","116900.00","114780.00","115866.00","115448.00","198","198.000 GRMS ","22951.77","209"
"29 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","114300.00","115595.00","114300.00","115448.00","113788.00","506","506.000 GRMS ","58191.50","420"
"26 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","112625.00","113940.00","112511.00","113788.00","112629.00","3473","3473.000 GRMS ","392558.88","914"
"25 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","112469.00","113250.00","112182.00","112629.00","112555.00","10538","10538.000 GRMS ","1187523.85","3349"
"24 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","113500.00","113838.00","112504.00","112555.00","113836.00","9066","9066.000 GRMS ","1027514.98","6536"
"23 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","112200.00","114179.00","112174.00","113836.00","112230.00","16731","16731.000 GRMS ","1899319.31","8852"
"22 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","110402.00","112295.00","110202.00","112230.00","109847.00","12617","12617.000 GRMS ","1405022.48","10711"
"19 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","109254.00","109910.00","109066.00","109847.00","109052.00","7902","7902.000 GRMS ","864866.69","12069"
"18 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","109180.00","109802.00","108690.00","109052.00","109822.00","12496","12496.000 GRMS ","1364612.50","12588"
"17 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","109956.00","109956.00","109180.00","109822.00","110156.00","8892","8892.000 GRMS ","974442.88","13908"
"16 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","110277.00","110666.00","110000.00","110156.00","110179.00","9357","9357.000 GRMS ","1032427.41","14394"
"15 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","109255.00","110330.00","108900.00","110179.00","109370.00","9649","9649.000 GRMS ","1056524.69","15570"
"12 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","109352.00","109656.00","109122.00","109370.00","108981.00","7077","7077.000 GRMS ","774037.13","15962"
"11 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","108705.00","109186.00","108563.00","108981.00","108986.00","11606","11606.000 GRMS ","1262902.00","16588"
"10 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","108744.00","109356.00","108668.00","108986.00","109033.00","8966","8966.000 GRMS ","977658.49","17009"
"09 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","108947.00","109840.00","108600.00","109033.00","108518.00","14266","14266.000 GRMS ","1557243.39","17731"
"08 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","107456.00","108732.00","107101.00","108518.00","107728.00","11541","11541.000 GRMS ","1246230.39","18183"
"05 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","106676.00","107807.00","106600.00","107728.00","106417.00","11160","11160.000 GRMS ","1197472.87","18445"
"04 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","106500.00","106823.00","105800.00","106417.00","107195.00","9939","9939.000 GRMS ","1056194.01","18078"
"03 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","106199.00","107226.00","105852.00","107195.00","105792.00","11432","11432.000 GRMS ","1216911.77","18953"
"02 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","104850.00","105915.00","104558.00","105792.00","104785.00","14752","14752.000 GRMS ","1552055.21","17641"
"01 Sep 2025","FUTCOM","GOLD         ","03OCT2025","-","0","104044.00","105937.00","104044.00","104785.00","103824.00","8909","8909.000 GRMS ","934409.14","16954"
"29 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","102146.00","104090.00","102069.00","103824.00","102100.00","16915","16915.000 GRMS ","1745221.25","16774"
"28 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","101450.00","102125.00","101334.00","102100.00","101542.00","9341","9341.000 GRMS ","950202.07","15887"
"27 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","100858.00","101612.00","100858.00","101542.00","101089.00","4316","4316.000 GRMS ","437335.92","14224"
"26 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","100812.00","101206.00","100700.00","101089.00","100624.00","7039","7039.000 GRMS ","710566.86","13445"
"25 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","100195.00","100720.00","100195.00","100624.00","100384.00","5066","5066.000 GRMS ","509112.91","13189"
"22 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","99301.00","100449.00","99168.00","100384.00","99435.00","10014","10014.000 GRMS ","999902.13","12634"
"21 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","99159.00","99595.00","98915.00","99435.00","99304.00","6540","6540.000 GRMS ","649366.56","13544"
"20 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","98742.00","99410.00","98516.00","99304.00","98696.00","6785","6785.000 GRMS ","671477.46","13791"
"19 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","99466.00","99517.00","98607.00","98696.00","99401.00","6921","6921.000 GRMS ","685545.56","13956"
"18 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","99960.00","100086.00","99313.00","99401.00","99838.00","5752","5752.000 GRMS ","573476.95","13267"
"14 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","100297.00","100438.00","99663.00","99838.00","100185.00","8915","8915.000 GRMS ","891950.49","12721"
"13 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","100263.00","100616.00","100123.00","100185.00","100157.00","6764","6764.000 GRMS ","678743.67","12901"
"12 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","100396.00","100398.00","99746.00","100157.00","100322.00","10620","10620.000 GRMS ","1063142.10","12681"
"11 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","101198.00","101199.00","100160.00","100322.00","101798.00","13151","13151.000 GRMS ","1323127.54","13510"
"08 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","101950.00","102250.00","101372.00","101798.00","101468.00","16815","16815.000 GRMS ","1714461.18","16561"
"07 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","101361.00","102155.00","100967.00","101468.00","101262.00","12258","12258.000 GRMS ","1244222.52","15765"
"06 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","101329.00","101332.00","100660.00","101262.00","101338.00","6686","6686.000 GRMS ","675496.68","14869"
"05 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","101133.00","101579.00","100475.00","101338.00","101204.00","8167","8167.000 GRMS ","825279.34","15078"
"04 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","99999.00","101344.00","99939.00","101204.00","99754.00","9178","9178.000 GRMS ","924623.12","14845"
"01 Aug 2025","FUTCOM","GOLD         ","03OCT2025","-","0","98702.00","99975.00","98292.00","99754.00","98769.00","11911","11911.000 GRMS ","1183251.09","12714"
