Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Feb 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62836.00","65040.00","62501.00","63338.00","63150.00","65","65.000 GRMS ","4104.09","174"
"02 Feb 2024","FUTCOM","GOLD         ","05FEB2024","-","0","63624.00","63624.00","62800.00","63150.00","63665.00","73","73.000 GRMS ","4613.87","218"
"01 Feb 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62880.00","63979.00","62660.00","63665.00","62958.00","113","113.000 GRMS ","7107.56","274"
"31 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62573.00","63039.00","62560.00","62958.00","62632.00","261","261.000 GRMS ","16374.68","354"
"30 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62174.00","62835.00","62174.00","62632.00","62186.00","1555","1555.000 GRMS ","97116.45","486"
"29 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62080.00","62299.00","62041.00","62186.00","61964.00","4562","4562.000 GRMS ","283549.49","1679"
"25 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","61932.00","62143.00","61840.00","61964.00","61985.00","4039","4039.000 GRMS ","250208.53","3790"
"24 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","61994.00","62259.00","61850.00","61985.00","61968.00","5224","5224.000 GRMS ","324152.78","5031"
"23 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","61904.00","62224.00","61811.00","61968.00","61868.00","4630","4630.000 GRMS ","287159.98","5873"
"22 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","61880.00","62049.00","61752.00","61868.00","62004.00","1804","1804.000 GRMS ","111662.62","6522"
"19 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","61876.00","62254.00","61840.00","62004.00","61769.00","4477","4477.000 GRMS ","277660.49","6579"
"18 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","61539.00","61800.00","61482.00","61769.00","61505.00","4434","4434.000 GRMS ","273376.00","6944"
"17 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62054.00","62090.00","61454.00","61505.00","62015.00","7363","7363.000 GRMS ","455049.23","7467"
"16 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62461.00","62521.00","61977.00","62015.00","62559.00","6146","6146.000 GRMS ","382818.12","8251"
"15 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62502.00","62646.00","62451.00","62559.00","62362.00","3283","3283.000 GRMS ","205364.17","8981"
"12 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","61925.00","62690.00","61925.00","62362.00","61788.00","7916","7916.000 GRMS ","493768.60","9260"
"11 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62146.00","62477.00","61731.00","61788.00","61996.00","6553","6553.000 GRMS ","406771.50","9300"
"10 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62230.00","62399.00","61966.00","61996.00","62179.00","4228","4228.000 GRMS ","262864.00","9870"
"09 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62149.00","62490.00","62114.00","62179.00","62095.00","5084","5084.000 GRMS ","316701.97","10254"
"08 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62511.00","62511.00","61925.00","62095.00","62557.00","6640","6640.000 GRMS ","412683.49","11021"
"05 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62631.00","63079.00","62160.00","62557.00","62640.00","8016","8016.000 GRMS ","501904.44","12039"
"04 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","62724.00","62820.00","62476.00","62640.00","62507.00","4315","4315.000 GRMS ","270505.91","12886"
"03 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","63258.00","63345.00","62418.00","62507.00","63257.00","8519","8519.000 GRMS ","535068.64","12974"
"02 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","63329.00","63653.00","63106.00","63257.00","63320.00","5144","5144.000 GRMS ","326182.09","14902"
"01 Jan 2024","FUTCOM","GOLD         ","05FEB2024","-","0","63225.00","63379.00","63181.00","63320.00","63203.00","661","661.000 GRMS ","41846.06","15163"
"29 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","63246.00","63385.00","63051.00","63203.00","63389.00","4280","4280.000 GRMS ","270528.78","15184"
"28 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","63728.00","63821.00","63333.00","63389.00","63678.00","3995","3995.000 GRMS ","253808.16","16033"
"27 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","63198.00","63710.00","63179.00","63678.00","63025.00","5296","5296.000 GRMS ","335756.02","16354"
"26 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","63149.00","63198.00","62903.00","63025.00","62954.00","3020","3020.000 GRMS ","190479.28","15505"
"22 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62784.00","63277.00","62687.00","62954.00","62503.00","7004","7004.000 GRMS ","441040.26","15790"
"21 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62412.00","62680.00","62369.00","62503.00","62415.00","3850","3850.000 GRMS ","240669.88","15052"
"20 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62533.00","62610.00","62309.00","62415.00","62476.00","4286","4286.000 GRMS ","267765.35","14891"
"19 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62100.00","62670.00","62069.00","62476.00","62291.00","4320","4320.000 GRMS ","269407.17","15141"
"18 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62193.00","62368.00","61950.00","62291.00","62192.00","4007","4007.000 GRMS ","248820.62","14761"
"15 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62550.00","62597.00","62055.00","62192.00","62454.00","5133","5133.000 GRMS ","320246.60","14858"
"14 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","61391.00","62880.00","61391.00","62454.00","61199.00","9271","9271.000 GRMS ","579856.83","15031"
"13 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","61196.00","61340.00","61001.00","61199.00","61181.00","4187","4187.000 GRMS ","256109.03","14594"
"12 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","61236.00","61583.00","61108.00","61181.00","61117.00","5219","5219.000 GRMS ","319972.52","14739"
"11 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","61800.00","61860.00","61099.00","61117.00","61719.00","5741","5741.000 GRMS ","352791.35","14915"
"08 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62525.00","62579.00","61625.00","61719.00","62466.00","7369","7369.000 GRMS ","457753.75","15259"
"07 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62414.00","62736.00","62222.00","62466.00","62440.00","4502","4502.000 GRMS ","281262.63","16339"
"06 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62250.00","62567.00","62201.00","62440.00","62185.00","4509","4509.000 GRMS ","281236.58","16657"
"05 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62826.00","62826.00","61942.00","62185.00","62369.00","6598","6598.000 GRMS ","411340.14","16554"
"04 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","63720.00","64063.00","62250.00","62369.00","63357.00","10188","10188.000 GRMS ","642917.72","17177"
"01 Dec 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62786.00","63382.00","62560.00","63357.00","62640.00","5399","5399.000 GRMS ","339587.89","17946"
"30 Nov 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62756.00","62842.00","62530.00","62640.00","62808.00","3278","3278.000 GRMS ","205457.17","17259"
"29 Nov 2023","FUTCOM","GOLD         ","05FEB2024","-","0","62883.00","62934.00","62538.00","62808.00","62722.00","5162","5162.000 GRMS ","323874.65","17123"
