Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Apr 2008","FUTCOM","GOLD         ","05APR2008","-","0","11815.00","11822.00","11802.00","11668.00","11735.00","4","4.000 GRMS ","47.25","164"
"04 Apr 2008","FUTCOM","GOLD         ","05APR2008","-","0","11660.00","11797.00","11601.00","11735.00","11703.00","212","212.000 GRMS ","2483.17","416"
"03 Apr 2008","FUTCOM","GOLD         ","05APR2008","-","0","11670.00","11751.00","11540.00","11703.00","11560.00","148","148.000 GRMS ","1725.92","665"
"02 Apr 2008","FUTCOM","GOLD         ","05APR2008","-","0","11544.00","11620.00","11432.00","11560.00","11482.00","286","286.000 GRMS ","3299.95","858"
"01 Apr 2008","FUTCOM","GOLD         ","05APR2008","-","0","11880.00","11936.00","11385.00","11482.00","11920.00","2828","2828.000 GRMS ","33056.07","913"
"31 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12019.00","12153.00","11907.00","11920.00","12004.00","16589","16589.000 GRMS ","199941.89","1984"
"29 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","11980.00","12009.00","11955.00","12004.00","11987.00","1800","1800.000 GRMS ","21605.34","4205"
"28 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12340.00","12340.00","11907.00","11987.00","12334.00","37117","37117.000 GRMS ","448437.12","4626"
"27 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12340.00","12385.00","12116.00","12334.00","12335.00","35237","35237.000 GRMS ","432364.51","5056"
"26 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12156.00","12357.00","12131.00","12335.00","12120.00","39903","39903.000 GRMS ","488252.52","5468"
"25 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","11965.00","12145.00","11965.00","12120.00","11954.00","38422","38422.000 GRMS ","463166.27","6002"
"24 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12050.00","12063.00","11831.00","11954.00","12048.00","44960","44960.000 GRMS ","537855.09","6783"
"20 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12357.00","12357.00","11858.00","12048.00","12371.00","58216","58216.000 GRMS ","701951.64","6757"
"19 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","13085.00","13085.00","12320.00","12371.00","13090.00","69536","69536.000 GRMS ","880516.13","7960"
"18 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","13075.00","13179.00","13034.00","13090.00","13065.00","42274","42274.000 GRMS ","553871.95","8874"
"17 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","13046.00","13397.00","13030.00","13065.00","13035.00","63987","63987.000 GRMS ","847595.62","8660"
"15 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12995.00","13050.00","12995.00","13035.00","12976.00","2771","2771.000 GRMS ","36115.75","9400"
"14 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12855.00","13029.00","12851.00","12976.00","12849.00","47458","47458.000 GRMS ","614083.71","9583"
"13 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12718.00","12960.00","12718.00","12849.00","12704.00","52799","52799.000 GRMS ","679413.12","9626"
"12 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12635.00","12740.00","12588.00","12704.00","12636.00","42787","42787.000 GRMS ","542130.29","9336"
"11 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12652.00","12800.00","12568.00","12636.00","12661.00","53580","53580.000 GRMS ","679614.13","9511"
"10 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12698.00","12769.00","12515.00","12661.00","12690.00","46844","46844.000 GRMS ","591625.00","9357"
"08 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12655.00","12695.00","12645.00","12690.00","12668.00","1331","1331.000 GRMS ","16872.22","9206"
"07 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12640.00","12820.00","12595.00","12668.00","12619.00","51098","51098.000 GRMS ","648969.58","9159"
"06 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12760.00","12835.00","12520.00","12619.00","12768.00","59883","59883.000 GRMS ","761361.06","9369"
"05 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12421.00","12871.00","12383.00","12768.00","12437.00","67660","67660.000 GRMS ","850029.05","11146"
"04 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12632.00","12705.00","12412.00","12437.00","12646.00","47245","47245.000 GRMS ","594430.93","10795"
"03 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12440.00","12683.00","12440.00","12646.00","12432.00","43545","43545.000 GRMS ","548617.70","11298"
"01 Mar 2008","FUTCOM","GOLD         ","05APR2008","-","0","12420.00","12436.00","12414.00","12432.00","12396.00","1541","1541.000 GRMS ","19146.78","11355"
"29 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","12310.00","12425.00","12306.00","12396.00","12293.00","44520","44520.000 GRMS ","550704.81","11385"
"28 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","12201.00","12330.00","12175.00","12293.00","12234.00","43394","43394.000 GRMS ","531583.80","11582"
"27 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","12145.00","12291.00","12145.00","12234.00","12132.00","53808","53808.000 GRMS ","657955.47","11277"
"26 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","12002.00","12143.00","11896.00","12132.00","12031.00","53102","53102.000 GRMS ","637388.30","12788"
"25 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","12119.00","12186.00","11980.00","12031.00","12104.00","51647","51647.000 GRMS ","624112.69","11872"
"23 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","12083.00","12116.00","12080.00","12104.00","12084.00","1344","1344.000 GRMS ","16258.89","12608"
"22 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","12078.00","12134.00","11970.00","12084.00","12075.00","47644","47644.000 GRMS ","575006.72","12634"
"21 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11982.00","12171.00","11982.00","12075.00","11958.00","54185","54185.000 GRMS ","654673.17","13696"
"20 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11850.00","11979.00","11748.00","11958.00","11836.00","56534","56534.000 GRMS ","669975.92","13715"
"19 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11587.00","11872.00","11587.00","11836.00","11578.00","57471","57471.000 GRMS ","675340.57","13882"
"18 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11562.00","11595.00","11526.00","11578.00","11553.00","17202","17202.000 GRMS ","198854.04","11201"
"16 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11535.00","11557.00","11530.00","11553.00","11544.00","1589","1589.000 GRMS ","18347.22","11075"
"15 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11611.00","11681.00","11491.00","11544.00","11588.00","46965","46965.000 GRMS ","545093.32","11179"
"14 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11574.00","11657.00","11528.00","11588.00","11585.00","45213","45213.000 GRMS ","524392.18","10913"
"13 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11562.00","11624.00","11475.00","11585.00","11596.00","56802","56802.000 GRMS ","655231.78","10834"
"12 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11751.00","11783.00","11560.00","11596.00","11765.00","56873","56873.000 GRMS ","664800.93","11055"
"11 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11740.00","11809.00","11690.00","11765.00","11727.00","45336","45336.000 GRMS ","533211.76","11505"
"09 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11695.00","11738.00","11695.00","11727.00","11685.00","2402","2402.000 GRMS ","28167.07","11263"
"08 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11548.00","11704.00","11548.00","11685.00","11536.00","52063","52063.000 GRMS ","605759.95","11508"
"07 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11493.00","11584.00","11435.00","11536.00","11490.00","68429","68429.000 GRMS ","788431.29","11112"
"06 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11370.00","11549.00","11325.00","11490.00","11382.00","62015","62015.000 GRMS ","709819.42","11203"
"05 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11490.00","11490.00","11306.00","11382.00","11506.00","69516","69516.000 GRMS ","791184.37","9989"
"04 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11540.00","11584.00","11375.00","11506.00","11537.00","61287","61287.000 GRMS ","702674.84","9685"
"02 Feb 2008","FUTCOM","GOLD         ","05APR2008","-","0","11550.00","11550.00","11525.00","11537.00","11554.00","2154","2154.000 GRMS ","24848.10","9797"
