Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"03 Jun 2016","FUTCOM","GOLD         ","03JUN2016","-","0","28600.00","29083.00","28560.00","28679.00","28591.00","33","33.000 GRMS ","949.55","19"
"02 Jun 2016","FUTCOM","GOLD         ","03JUN2016","-","0","28665.00","28700.00","28562.00","28591.00","28646.00","96","96.000 GRMS ","2749.63","153"
"01 Jun 2016","FUTCOM","GOLD         ","03JUN2016","-","0","28611.00","28798.00","28480.00","28646.00","28627.00","781","781.000 GRMS ","22375.74","229"
"31 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","28668.00","28719.00","28555.00","28627.00","28603.00","6763","6763.000 GRMS ","193706.19","624"
"30 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","28523.00","28700.00","28410.00","28603.00","28603.00","10287","10287.000 GRMS ","293208.67","2332"
"27 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","28691.00","28837.00","28536.00","28603.00","28738.00","13915","13915.000 GRMS ","398992.44","3656"
"26 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29100.00","29160.00","28705.00","28738.00","28955.00","17587","17587.000 GRMS ","509085.44","4209"
"25 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29200.00","29214.00","28861.00","28955.00","29300.00","16821","16821.000 GRMS ","487866.20","4715"
"24 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29687.00","29687.00","29275.00","29300.00","29684.00","18053","18053.000 GRMS ","532358.33","5293"
"23 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29677.00","29727.00","29570.00","29684.00","29691.00","10913","10913.000 GRMS ","323587.30","6026"
"20 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29718.00","29870.00","29653.00","29691.00","29797.00","12846","12846.000 GRMS ","382256.92","6257"
"19 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29917.00","29917.00","29623.00","29797.00","30055.00","16287","16287.000 GRMS ","484137.89","6399"
"18 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","30041.00","30083.00","29911.00","30055.00","30049.00","13815","13815.000 GRMS ","414463.44","7031"
"17 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29999.00","30140.00","29855.00","30049.00","29977.00","16054","16054.000 GRMS ","481603.45","7188"
"16 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","30064.00","30269.00","29912.00","29977.00","30034.00","15065","15065.000 GRMS ","453745.62","7166"
"13 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29943.00","30068.00","29750.00","30034.00","29901.00","16139","16139.000 GRMS ","483063.13","7398"
"12 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29886.00","30095.00","29757.00","29901.00","29935.00","16824","16824.000 GRMS ","502742.08","7110"
"11 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29901.00","30075.00","29835.00","29935.00","29783.00","15837","15837.000 GRMS ","474717.70","7087"
"10 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","29797.00","29864.00","29607.00","29783.00","29805.00","14615","14615.000 GRMS ","434951.07","7298"
"09 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","30215.00","30215.00","29765.00","29805.00","30378.00","17865","17865.000 GRMS ","535553.93","7478"
"06 May 2016","FUTCOM","GOLD         ","03JUN2016","-","0","30120.00","30420.00","30000.00","30378.00","29897.00","24454","24454.000 GRMS ","739281.03","8922"
